glyph,unicode,leaf,line,band,category,x,y,w,h,notes
C,0043,400,72pt,4,cap,361,1483,289,365,"survey #29, 'CHECKS'"
H,0048,400,72pt,4,cap,683,1486,291,354,"survey #30, 'CHECKS'"
E,0045,400,72pt,4,cap,1013,1479,279,371,"survey #31, 'CHECKS'"
C.72pt,,400,72pt,4,cap,1313,1483,290,366,"survey #32, 'CHECKS'"
K,004B,400,72pt,4,cap,1637,1489,306,352,"survey #33, 'CHECKS'"
S,0053,400,72pt,4,cap,1959,1487,295,363,"survey #34, 'CHECKS'"
T,0054,400,72pt,5,cap,207,1892,260,360,"survey #35, 'Time 5 Boy'"
i,0069,400,72pt,5,lower,486,1897,83,355,"survey #36, 'Time 5 Boy'"
m,006D,400,72pt,5,lower,596,1982,380,271,"survey #37, 'Time 5 Boy'"
e,0065,400,72pt,5,lower,1007,1942,217,313,"survey #38, 'Time 5 Boy'"
five,0035,400,72pt,5,figure,1293,1891,245,368,"survey #39, 'Time 5 Boy'"
B,0042,400,72pt,5,cap,1626,1901,279,353,"survey #40, 'Time 5 Boy'"
o,006F,400,72pt,5,lower,1928,1941,224,316,"survey #41, 'Time 5 Boy'"
y,0079,400,72pt,5,lower,2171,1964,234,367,"survey #42, 'Time 5 Boy'"
P,0050,400,60pt,2,cap,501,689,235,296,"survey #12, 'PICKLES'"
I,0049,400,60pt,2,cap,759,690,78,295,"survey #13, 'PICKLES'"
C.60pt,,400,60pt,2,cap,864,686,239,305,"survey #14, 'PICKLES'"
K.60pt,,400,60pt,2,cap,1121,688,250,296,"survey #15, 'PICKLES'"
L,004C,400,60pt,2,cap,1396,689,214,304,"survey #16, 'PICKLES'"
E.60pt,,400,60pt,2,cap,1629,688,227,307,"survey #17, 'PICKLES'"
S.60pt,,400,60pt,2,cap,1875,691,243,304,"survey #18, 'PICKLES'"
L.60pt,,400,60pt,3,cap,218,1033,214,304,"survey #19, 'Large 3 Peas'"
a,0061,400,60pt,3,lower,444,1104,185,229,"survey #20, 'Large 3 Peas'"
