glyph,unicode,leaf,line,band,category,x,y,w,h,notes
H,0048,391,72pt,5,cap,446,1550,267,331,"survey #34, 'HURON'"
U,0055,391,72pt,5,cap,754,1550,266,335,"survey #35, 'HURON'"
R,0052,391,72pt,5,cap,1062,1551,269,330,"survey #36, 'HURON'"
O,004F,391,72pt,5,cap,1348,1547,302,336,"survey #37, 'HURON'"
N,004E,391,72pt,5,cap,1691,1551,266,331,"survey #38, 'HURON'"
B,0042,391,72pt,6,cap,133,1954,260,329,"survey #39, 'Big 3 Store'"
i,0069,391,72pt,6,lower,424,1975,48,309,"survey #40, 'Big 3 Store'"
g,0067,391,72pt,6,lower,502,2041,213,335,"survey #41, 'Big 3 Store'"
three,0033,391,72pt,6,figure,886,1953,228,335,"survey #42, 'Big 3 Store'"
S,0053,391,72pt,6,cap,1257,1950,247,337,"survey #43, 'Big 3 Store'"
t,0074,391,72pt,6,lower,1534,1974,118,314,"survey #44, 'Big 3 Store'"
o,006F,391,72pt,6,lower,1665,2041,212,247,"survey #45, 'Big 3 Store'"
r,0072,391,72pt,6,lower,1903,2039,166,245,"survey #46, 'Big 3 Store'"
e,0065,391,72pt,6,lower,2087,2041,198,247,"survey #47, 'Big 3 Store'"
R.60pt,,391,60pt,3,cap,527,713,224,280,"survey #17, 'RAISINS'"
A,0041,391,60pt,3,cap,773,713,238,281,"survey #18, 'RAISINS'"
I,0049,391,60pt,3,cap,1033,714,46,280,"survey #19, 'RAISINS'"
S.60pt,,391,60pt,3,cap,1109,712,212,288,"survey #20, 'RAISINS'"
I.60pt,,391,60pt,3,cap,1348,714,46,281,"survey #21, 'RAISINS'"
N.60pt,,391,60pt,3,cap,1431,715,227,280,"survey #22, 'RAISINS'"
S.60pt_2,,391,60pt,3,cap,1682,713,212,287,"survey #23, 'RAISINS'"
F,0046,391,60pt,4,cap,127,1040,214,287,"survey #24, 'Fresh 5 Crop'"
r.60pt,,391,60pt,4,lower,356,1115,126,212,"survey #25, 'Fresh 5 Crop'"
e.60pt,,391,60pt,4,lower,497,1114,169,213,"survey #26, 'Fresh 5 Crop'"
s,0073,391,60pt,4,lower,681,1113,163,216,"survey #27, 'Fresh 5 Crop'"
h,0068,391,60pt,4,lower,862,1046,184,297,"survey #28, 'Fresh 5 Crop'"
five,0035,391,60pt,4,figure,1191,1040,198,290,"survey #29, 'Fresh 5 Crop'"
C,0043,391,60pt,4,cap,1540,1044,223,287,"survey #30, 'Fresh 5 Crop'"
r.60pt_2,,391,60pt,4,lower,1781,1115,126,213,"survey #31, 'Fresh 5 Crop'"
o.60pt,,391,60pt,4,lower,1924,1115,177,211,"survey #32, 'Fresh 5 Crop'"
p,0070,391,60pt,4,lower,2114,1116,179,281,"survey #33, 'Fresh 5 Crop'"
