glyph,unicode,leaf,line,band,category,x,y,w,h,notes
H,0048,397,60pt,3,cap,425,699,231,346,"survey #15, '~ HUNTING'"
U,0055,397,60pt,3,cap,686,698,228,286,"survey #16, '~ HUNTING'"
N,004E,397,60pt,3,cap,942,698,232,282,"survey #17, '~ HUNTING'"
T,0054,397,60pt,3,cap,1194,694,222,287,"survey #18, '~ HUNTING'"
I,0049,397,60pt,3,cap,1438,700,57,281,"survey #19, '~ HUNTING'"
N.60pt,,397,60pt,3,cap,1519,699,232,282,"survey #20, '~ HUNTING'"
G,0047,397,60pt,3,cap,1777,698,224,287,"survey #21, '~ HUNTING'"
W,0057,397,60pt,4,cap,130,1066,284,283,"survey #22, 'Watch 8 Dogs'"
a,0061,397,60pt,4,lower,432,1135,178,213,"survey #23, 'Watch 8 Dogs'"
t,0074,397,60pt,4,lower,624,1079,106,268,"survey #24, 'Watch 8 Dogs'"
c,0063,397,60pt,4,lower,745,1133,159,213,"survey #25, 'Watch 8 Dogs'"
h,0068,397,60pt,4,lower,922,1063,186,284,"survey #26, 'Watch 8 Dogs'"
eight,0038,397,60pt,4,figure,1206,1060,196,290,"survey #27, 'Watch 8 Dogs'"
D,0044,397,60pt,4,cap,1501,1065,228,281,"survey #28, 'Watch 8 Dogs'"
o,006F,397,60pt,4,lower,1744,1133,180,214,"survey #29, 'Watch 8 Dogs'"
g,0067,397,60pt,4,lower,1938,1135,177,276,"survey #30, 'Watch 8 Dogs'"
s,0073,397,60pt,4,lower,2136,1132,164,218,"survey #31, 'Watch 8 Dogs'"
