glyph,unicode,leaf,line,band,category,x,y,w,h,notes
N,004E,395,72pt,4,cap,338,1573,266,332,"survey #33, 'NATURE'"
A,0041,395,72pt,4,cap,634,1574,279,329,"survey #34, 'NATURE'"
T,0054,395,72pt,4,cap,918,1566,257,340,"survey #35, 'NATURE'"
U,0055,395,72pt,4,cap,1196,1574,266,335,"survey #36, 'NATURE'"
R,0052,395,72pt,4,cap,1499,1575,282,330,"survey #37, 'NATURE'"
E,0045,395,72pt,4,cap,1803,1567,263,348,"survey #38, 'NATURE'"
D,0044,395,72pt,5,cap,129,1991,261,330,"survey #39, 'Dew 7 Drop'"
e,0065,395,72pt,5,lower,422,2079,197,247,"survey #40, 'Dew 7 Drop'"
w,0077,395,72pt,5,lower,636,2046,365,280,"survey #41, 'Dew 7 Drop'"
seven,0037,395,72pt,5,figure,1065,1991,229,337,"survey #42, 'Dew 7 Drop'"
D.72pt,,395,72pt,5,cap,1349,1994,265,330,"survey #43, 'Dew 7 Drop'"
r,0072,395,72pt,5,lower,1645,2078,165,248,"survey #44, 'Dew 7 Drop'"
o,006F,395,72pt,5,lower,1824,2079,211,248,"survey #45, 'Dew 7 Drop'"
p,0070,395,72pt,5,lower,2063,2080,215,334,"survey #46, 'Dew 7 Drop'"
B,0042,395,60pt,2,cap,380,702,225,281,"survey #14, 'BUILDING'"
U.60pt,,395,60pt,2,cap,632,700,227,285,"survey #15, 'BUILDING'"
I,0049,395,60pt,2,cap,891,701,53,280,"survey #16, 'BUILDING'"
L,004C,395,60pt,2,cap,973,701,212,287,"survey #17, 'BUILDING'"
D.60pt,,395,60pt,2,cap,1204,701,229,280,"survey #18, 'BUILDING'"
I.60pt,,395,60pt,2,cap,1459,702,52,280,"survey #19, 'BUILDING'"
N.60pt,,395,60pt,2,cap,1542,702,229,281,"survey #20, 'BUILDING'"
G,0047,395,60pt,2,cap,1799,701,223,287,"survey #21, 'BUILDING'"
D.60pt_2,,395,60pt,3,cap,126,1056,223,280,"survey #22, 'Drug 3 Stores'"
r.60pt,,395,60pt,3,lower,369,1121,125,213,"survey #23, 'Drug 3 Stores'"
u,0075,395,60pt,3,lower,507,1122,192,216,"survey #24, 'Drug 3 Stores'"
g,0067,395,60pt,3,lower,718,1122,178,286,"survey #25, 'Drug 3 Stores'"
three,0033,395,60pt,3,figure,976,1054,197,285,"survey #26, 'Drug 3 Stores'"
S,0053,395,60pt,3,cap,1259,1052,212,288,"survey #27, 'Drug 3 Stores'"
t,0074,395,60pt,3,lower,1489,1068,103,268,"survey #28, 'Drug 3 Stores'"
o.60pt,,395,60pt,3,lower,1608,1124,178,212,"survey #29, 'Drug 3 Stores'"
r.60pt_2,,395,60pt,3,lower,1803,1123,126,212,"survey #30, 'Drug 3 Stores'"
e.60pt,,395,60pt,3,lower,1946,1125,169,213,"survey #31, 'Drug 3 Stores'"
s,0073,395,60pt,3,lower,2130,1123,163,215,"survey #32, 'Drug 3 Stores'"
S.48pt,,394,48pt,6,cap,570,3044,180,243,"survey #117, 'SOCIETIES'"
O,004F,394,48pt,6,cap,759,3046,206,240,"survey #118, 'SOCIETIES'"
C,0043,394,48pt,6,cap,974,3044,189,241,"survey #119, 'SOCIETIES'"
I.48pt,,394,48pt,6,cap,1179,3048,53,234,"survey #120, 'SOCIETIES'"
E.48pt,,394,48pt,6,cap,1255,3042,171,247,"survey #121, 'SOCIETIES'"
T.48pt,,394,48pt,6,cap,1436,3038,192,244,"survey #122, 'SOCIETIES'"
I.48pt_2,,394,48pt,6,cap,1642,3047,52,235,"survey #123, 'SOCIETIES'"
E.48pt_2,,394,48pt,6,cap,1717,3040,171,246,"survey #124, 'SOCIETIES'"
S.48pt_2,,394,48pt,6,cap,1898,3041,181,244,"survey #125, 'SOCIETIES'"
F,0046,394,48pt,7,cap,220,3341,177,242,"survey #126, 'Friday 5 Nights'"
r.48pt,,394,48pt,7,lower,412,3409,106,173,"survey #127, 'Friday 5 Nights'"
i,0069,394,48pt,7,lower,527,3358,47,224,"survey #128, 'Friday 5 Nights'"
d,0064,394,48pt,7,lower,588,3345,150,243,"survey #129, 'Friday 5 Nights'"
a,0061,394,48pt,7,lower,750,3407,149,178,"survey #130, 'Friday 5 Nights'"
y,0079,394,48pt,7,lower,912,3398,158,243,"survey #131, 'Friday 5 Nights'"
five,0035,394,48pt,7,figure,1226,3341,162,244,"survey #132, 'Friday 5 Nights'"
N.48pt,,394,48pt,7,cap,1558,3346,186,235,"survey #133, 'Friday 5 Nights'"
i.48pt,,394,48pt,7,lower,1767,3357,45,224,"survey #134, 'Friday 5 Nights'"
g.48pt,,394,48pt,7,lower,1830,3404,152,232,"survey #135, 'Friday 5 Nights'"
h,0068,394,48pt,7,lower,2004,3342,156,238,"survey #136, 'Friday 5 Nights'"
t.48pt,,394,48pt,7,lower,2177,3361,100,222,"survey #137, 'Friday 5 Nights'"
