glyph,unicode,leaf,line,band,category,x,y,w,h,notes
P,0050,441,72pt,8,cap,466,2853,334,353,"survey #68, 'PALM'"
A,0041,441,72pt,8,cap,807,2851,412,356,"survey #69, 'PALM'"
L,004C,441,72pt,8,cap,1229,2852,324,355,"survey #70, 'PALM'"
M,004D,441,72pt,8,cap,1563,2854,425,351,"survey #71, 'PALM'"
S,0053,441,72pt,9,cap,140,3243,282,363,"survey #72, 'Sunday 4'"
u,0075,441,72pt,9,lower,432,3317,315,291,"survey #73, 'Sunday 4'"
n,006E,441,72pt,9,lower,758,3354,311,248,"survey #74, 'Sunday 4'"
d,0064,441,72pt,9,lower,1093,3254,294,353,"survey #75, 'Sunday 4'"
a,0061,441,72pt,9,lower,1398,3360,267,250,"survey #76, 'Sunday 4'"
y,0079,441,72pt,9,lower,1664,3363,274,297,"survey #77, 'Sunday 4'"
four,0034,441,72pt,9,figure,2011,3247,301,378,"survey #78, 'Sunday 4'"
S.60pt,,441,60pt,6,cap,522,2015,235,310,"survey #53, 'SONGS'"
O,004F,441,60pt,6,cap,769,2011,287,316,"survey #54, 'SONGS'"
N,004E,441,60pt,6,cap,1074,2018,299,307,"survey #55, 'SONGS'"
G,0047,441,60pt,6,cap,1382,2013,312,313,"survey #56, 'SONGS'"
S.60pt_2,,441,60pt,6,cap,1703,2015,234,309,"survey #57, 'SONGS'"
B,0042,441,60pt,7,cap,142,2347,309,319,"survey #58, 'Birds 8 Sing'"
i,0069,441,60pt,7,lower,456,2356,103,292,"survey #59, 'Birds 8 Sing'"
r,0072,441,60pt,7,lower,570,2435,191,214,"survey #60, 'Birds 8 Sing'"
d.60pt,,441,60pt,7,lower,766,2353,228,306,"survey #61, 'Birds 8 Sing'"
s,0073,441,60pt,7,lower,994,2441,181,216,"survey #62, 'Birds 8 Sing'"
eight,0038,441,60pt,7,figure,1239,2345,227,309,"survey #63, 'Birds 8 Sing'"
S.60pt_3,,441,60pt,7,cap,1542,2347,233,308,"survey #64, 'Birds 8 Sing'"
i.60pt,,441,60pt,7,lower,1784,2355,101,291,"survey #65, 'Birds 8 Sing'"
n.60pt,,441,60pt,7,lower,1894,2433,237,215,"survey #66, 'Birds 8 Sing'"
g,0067,441,60pt,7,lower,2140,2357,176,355,"survey #67, 'Birds 8 Sing'"
T,0054,441,48pt,4,cap,398,1307,222,247,"survey #35, 'TABLETS'"
A.48pt,,441,48pt,4,cap,627,1305,266,248,"survey #36, 'TABLETS'"
B.48pt,,441,48pt,4,cap,902,1309,250,244,"survey #37, 'TABLETS'"
L.48pt,,441,48pt,4,cap,1162,1309,210,245,"survey #38, 'TABLETS'"
E,0045,441,48pt,4,cap,1380,1308,242,246,"survey #39, 'TABLETS'"
T.48pt,,441,48pt,4,cap,1630,1309,223,245,"survey #40, 'TABLETS'"
