glyph,unicode,leaf,line,band,category,x,y,w,h,notes
C,0043,438,72pt,2,cap,567,760,197,360,"survey #19, 'CENTRAL'"
E,0045,438,72pt,2,cap,774,763,231,352,"survey #20, 'CENTRAL'"
N,004E,438,72pt,2,cap,1009,757,219,363,"survey #21, 'CENTRAL'"
T,0054,438,72pt,2,cap,1233,761,220,355,"survey #22, 'CENTRAL'"
R,0052,438,72pt,2,cap,1462,761,231,364,"survey #23, 'CENTRAL'"
A,0041,438,72pt,2,cap,1691,755,251,362,"survey #24, 'CENTRAL'"
L,004C,438,72pt,2,cap,1949,762,199,354,"survey #25, 'CENTRAL'"
L.72pt,,438,72pt,3,cap,255,1168,196,355,"survey #26, 'Long 8 Express'"
o,006F,438,72pt,3,lower,460,1283,159,247,"survey #27, 'Long 8 Express'"
n,006E,438,72pt,3,lower,635,1283,181,240,"survey #28, 'Long 8 Express'"
g,0067,438,72pt,3,lower,833,1228,161,362,"survey #29, 'Long 8 Express'"
eight,0038,438,72pt,3,figure,1071,1162,170,369,"survey #30, 'Long 8 Express'"
E.72pt,,438,72pt,3,cap,1311,1170,232,353,"survey #31, 'Long 8 Express'"
x,0078,438,72pt,3,lower,1543,1286,171,238,"survey #32, 'Long 8 Express'"
p,0070,438,72pt,3,lower,1724,1279,160,315,"survey #33, 'Long 8 Express'"
r,0072,438,72pt,3,lower,1898,1283,129,241,"survey #34, 'Long 8 Express'"
e,0065,438,72pt,3,lower,2034,1288,142,242,"survey #35, 'Long 8 Express'"
s,0073,438,72pt,3,lower,2182,1291,134,235,"survey #36, 'Long 8 Express'"
s.72pt,,438,72pt,3,lower,2322,1291,134,235,"survey #37, 'Long 8 Express'"
E.60pt,,437,60pt,8,cap,379,2892,195,295,"survey #113, 'ENERGETIC'"
N.60pt,,437,60pt,8,cap,583,2887,185,305,"survey #114, 'ENERGETIC'"
E.60pt_2,,437,60pt,8,cap,781,2894,197,295,"survey #115, 'ENERGETIC'"
R.60pt,,437,60pt,8,cap,989,2894,195,303,"survey #116, 'ENERGETIC'"
G,0047,437,60pt,8,cap,1194,2888,180,304,"survey #117, 'ENERGETIC'"
E.60pt_3,,437,60pt,8,cap,1384,2893,196,295,"survey #118, 'ENERGETIC'"
T.60pt,,437,60pt,8,cap,1580,2891,189,296,"survey #119, 'ENERGETIC'"
I,0049,437,60pt,8,cap,1779,2891,87,295,"survey #120, 'ENERGETIC'"
C.60pt,,437,60pt,8,cap,1883,2888,170,302,"survey #121, 'ENERGETIC'"
S,0053,437,60pt,9,cap,130,3249,153,295,"survey #122, 'Seeking 6 Money'"
e.60pt,,437,60pt,9,lower,287,3346,120,204,"survey #123, 'Seeking 6 Money'"
e.60pt_2,,437,60pt,9,lower,415,3348,121,204,"survey #124, 'Seeking 6 Money'"
k,006B,437,60pt,9,lower,546,3250,149,302,"survey #125, 'Seeking 6 Money'"
i,0069,437,60pt,9,lower,705,3254,75,297,"survey #126, 'Seeking 6 Money'"
n.60pt,,437,60pt,9,lower,793,3350,155,203,"survey #127, 'Seeking 6 Money'"
g.60pt,,437,60pt,9,lower,954,3307,140,301,"survey #128, 'Seeking 6 Money'"
six,0036,437,60pt,9,figure,1212,3257,128,298,"survey #129, 'Seeking 6 Money'"
M,004D,437,60pt,9,cap,1487,3254,231,297,"survey #130, 'Seeking 6 Money'"
o.60pt,,437,60pt,9,lower,1729,3346,136,208,"survey #131, 'Seeking 6 Money'"
