glyph,unicode,leaf,line,band,category,x,y,w,h,notes
B,0042,433,60pt,6,cap,520,1974,263,303,"survey #45, 'BONDS'"
O,004F,433,60pt,6,cap,810,1980,262,308,"survey #46, 'BONDS'"
N,004E,433,60pt,6,cap,1068,1982,365,354,"survey #47, 'BONDS'"
D,0044,433,60pt,6,cap,1428,1981,271,299,"survey #48, 'BONDS'"
S,0053,433,60pt,6,cap,1702,1987,290,293,"survey #49, 'BONDS'"
L,004C,433,60pt,7,cap,152,2307,247,298,"survey #50, 'La[rg]e 3 Duck'"
a,0061,433,60pt,7,lower,406,2402,190,205,"survey #51, 'La[rg]e 3 Duck'"
e,0065,433,60pt,7,lower,923,2401,142,209,"survey #53, 'La[rg]e 3 Duck'"
three,0033,433,60pt,7,figure,1163,2317,236,297,"survey #54, 'La[rg]e 3 Duck'"
D.60pt,,433,60pt,7,cap,1489,2312,271,298,"survey #55, 'La[rg]e 3 Duck'"
u,0075,433,60pt,7,lower,1763,2406,190,203,"survey #56, 'La[rg]e 3 Duck'"
c,0063,433,60pt,7,lower,1961,2406,152,205,"survey #57, 'La[rg]e 3 Duck'"
k,006B,433,60pt,7,lower,2119,2305,208,359,"survey #58, 'La[rg]e 3 Duck'"
G,0047,433,48pt,4,cap,363,1280,218,247,"survey #31, 'GEN[UINE]'"
E,0045,433,48pt,4,cap,587,1283,243,242,"survey #32, 'GEN[UINE]'"
N.48pt,,433,48pt,4,cap,828,1283,319,288,"survey #33, 'GEN[UINE]'"
R,0052,433,48pt,5,cap,168,1542,262,260,"survey #35, 'Rh[in]e 6 [St]ones'"
h,0068,433,48pt,5,lower,437,1546,172,245,"survey #36, 'Rh[in]e 6 [St]ones'"
e.48pt,,433,48pt,5,lower,884,1619,124,174,"survey #38, 'Rh[in]e 6 [St]ones'"
six,0036,433,48pt,5,figure,1116,1545,165,251,"survey #39, 'Rh[in]e 6 [St]ones'"
o,006F,433,48pt,5,lower,1733,1624,147,170,"survey #41, 'Rh[in]e 6 [St]ones'"
n,006E,433,48pt,5,lower,1894,1621,156,174,"survey #42, 'Rh[in]e 6 [St]ones'"
e.48pt_2,,433,48pt,5,lower,2063,1624,123,173,"survey #43, 'Rh[in]e 6 [St]ones'"
s,0073,433,48pt,5,lower,2190,1627,141,170,"survey #44, 'Rh[in]e 6 [St]ones'"
R.36pt,,433,36pt,2,cap,418,700,208,209,"survey #14, 'RO[SE] B[USH]'"
O.36pt,,433,36pt,2,cap,637,701,182,202,"survey #15, 'RO[SE] B[USH]'"
B.36pt,,433,36pt,2,cap,1286,704,183,198,"survey #17, 'RO[SE] B[USH]'"
r,0072,433,36pt,3,lower,660,960,102,138,"survey #21, '[Fr][ag]rant 4 [Flo]wers'"
a.36pt,,433,36pt,3,lower,761,958,134,142,"survey #22, '[Fr][ag]rant 4 [Flo]wers'"
