glyph,unicode,leaf,line,band,category,x,y,w,h,notes
D,0044,431,120pt,2,cap,364,737,519,567,"survey #16, 'DOG'"
O,004F,431,120pt,2,cap,917,729,550,580,"survey #17, 'DOG'"
G,0047,431,120pt,2,cap,1501,734,496,576,"survey #18, 'DOG'"
B,0042,431,120pt,3,cap,95,1399,477,569,"survey #19, 'Boys 9'"
o,006F,431,120pt,3,lower,589,1597,360,378,"survey #20, 'Boys 9'"
y,0079,431,120pt,3,lower,963,1602,393,475,"survey #21, 'Boys 9'"
s,0073,431,120pt,3,lower,1362,1594,313,383,"survey #22, 'Boys 9'"
nine,0039,431,120pt,3,figure,1890,1400,375,575,"survey #23, 'Boys 9'"
S,0053,430,96pt,7,cap,449,2591,329,468,"survey #46, 'SONG'"
O.96pt,,430,96pt,7,cap,817,2590,455,473,"survey #47, 'SONG'"
N,004E,430,96pt,7,cap,1303,2588,432,467,"survey #48, 'SONG'"
G.96pt,,430,96pt,7,cap,1764,2586,413,474,"survey #49, 'SONG'"
eight,0038,430,96pt,8,figure,231,3126,302,467,"survey #50, '8 Sledge'"
S.96pt,,430,96pt,8,cap,687,3124,330,468,"survey #51, '8 Sledge'"
l,006C,430,96pt,8,lower,1047,3123,161,462,"survey #52, '8 Sledge'"
e,0065,430,96pt,8,lower,1233,3282,280,306,"survey #53, '8 Sledge'"
d,0064,430,96pt,8,lower,1529,3127,317,463,"survey #54, '8 Sledge'"
g,0067,430,96pt,8,lower,1860,3204,265,466,"survey #55, '8 Sledge'"
e.96pt,,430,96pt,8,lower,2135,3280,278,306,"survey #56, '8 Sledge'"
F,0046,430,72pt,5,cap,474,1578,307,361,"survey #33, 'FROGS'"
R,0052,430,72pt,5,cap,788,1582,335,357,"survey #34, 'FROGS'"
O.72pt,,430,72pt,5,cap,1138,1590,360,351,"survey #35, 'FROGS'"
G.72pt,,430,72pt,5,cap,1519,1586,339,356,"survey #36, 'FROGS'"
S.72pt,,430,72pt,5,cap,1871,1583,286,359,"survey #37, 'FROGS'"
L,004C,430,72pt,6,cap,216,1985,317,359,"survey #38, 'Leaping 4'"
e.72pt,,430,72pt,6,lower,542,2094,229,245,"survey #39, 'Leaping 4'"
a,0061,430,72pt,6,lower,784,2095,261,244,"survey #40, 'Leaping 4'"
p,0070,430,72pt,6,lower,1058,2098,263,312,"survey #41, 'Leaping 4'"
i,0069,430,72pt,6,lower,1337,2008,116,330,"survey #42, 'Leaping 4'"
n,006E,430,72pt,6,lower,1475,2096,291,241,"survey #43, 'Leaping 4'"
g.72pt,,430,72pt,6,lower,1782,2039,233,363,"survey #44, 'Leaping 4'"
four,0034,430,72pt,6,figure,2150,1975,269,365,"survey #45, 'Leaping 4'"
B.60pt,,430,60pt,3,cap,510,707,280,298,"survey #18, 'BRIDGE'"
R.60pt,,430,60pt,3,cap,808,706,281,297,"survey #19, 'BRIDGE'"
I,0049,430,60pt,3,cap,1103,705,109,298,"survey #20, 'BRIDGE'"
D.60pt,,430,60pt,3,cap,1240,705,297,300,"survey #21, 'BRIDGE'"
G.60pt,,430,60pt,3,cap,1553,705,282,303,"survey #22, 'BRIDGE'"
E,0045,430,60pt,3,cap,1837,707,302,302,"survey #23, 'BRIDGE'"
D.60pt_2,,430,60pt,4,cap,223,1040,296,354,"survey #24, 'Dark 5 Spot'"
a.60pt,,430,60pt,4,lower,528,1132,214,210,"survey #25, 'Dark 5 Spot'"
r,0072,430,60pt,4,lower,746,1132,160,206,"survey #26, 'Dark 5 Spot'"
k,006B,430,60pt,4,lower,911,1038,236,303,"survey #27, 'Dark 5 Spot'"
five,0035,430,60pt,4,figure,1289,1039,201,302,"survey #28, 'Dark 5 Spot'"
S.60pt,,430,60pt,4,cap,1626,1039,235,302,"survey #29, 'Dark 5 Spot'"
p.60pt,,430,60pt,4,lower,1873,1135,214,265,"survey #30, 'Dark 5 Spot'"
o.60pt,,430,60pt,4,lower,2097,1134,201,209,"survey #31, 'Dark 5 Spot'"
t,0074,430,60pt,4,lower,2301,1074,120,269,"survey #32, 'Dark 5 Spot'"
S.54pt,,429,54pt,6,cap,359,2047,221,270,"survey #59, 'STORIES'"
T,0054,429,54pt,6,cap,587,2046,258,270,"survey #60, 'STORIES'"
O.54pt,,429,54pt,6,cap,855,2048,275,270,"survey #61, 'STORIES'"
R.54pt,,429,54pt,6,cap,1147,2047,252,272,"survey #62, 'STORIES'"
I.54pt,,429,54pt,6,cap,1407,2049,123,268,"survey #63, 'STORIES'"
E.54pt,,429,54pt,6,cap,1547,2048,274,271,"survey #64, 'STORIES'"
S.54pt_2,,429,54pt,6,cap,1823,2048,222,270,"survey #65, 'STORIES'"
R.54pt_2,,429,54pt,7,cap,120,2354,248,273,"survey #66, 'Rifle 2 Range'"
i.54pt,,429,54pt,7,lower,375,2373,99,251,"survey #67, 'Rifle 2 Range'"
f,0066,429,54pt,7,lower,482,2357,115,267,"survey #68, 'Rifle 2 Range'"
l.54pt,,429,54pt,7,lower,600,2357,99,267,"survey #69, 'Rifle 2 Range'"
e.54pt,,429,54pt,7,lower,711,2436,170,190,"survey #70, 'Rifle 2 Range'"
two,0032,429,54pt,7,figure,979,2356,185,268,"survey #71, 'Rifle 2 Range'"
R.54pt_3,,429,54pt,7,cap,1266,2356,252,271,"survey #72, 'Rifle 2 Range'"
a.54pt,,429,54pt,7,lower,1522,2437,193,189,"survey #73, 'Rifle 2 Range'"
n.54pt,,429,54pt,7,lower,1720,2438,218,185,"survey #74, 'Rifle 2 Range'"
g.54pt,,429,54pt,7,lower,1947,2409,165,265,"survey #75, 'Rifle 2 Range'"
e.54pt_2,,429,54pt,7,lower,2122,2437,169,190,"survey #76, 'Rifle 2 Range'"
E.48pt,,429,48pt,4,cap,360,1312,234,246,"survey #40, 'ELECTRIC'"
L.48pt,,429,48pt,4,cap,601,1313,207,245,"survey #41, 'ELECTRIC'"
E.48pt_2,,429,48pt,4,cap,815,1313,234,245,"survey #42, 'ELECTRIC'"
C,0043,429,48pt,4,cap,1055,1311,220,247,"survey #43, 'ELECTRIC'"
T.48pt,,429,48pt,4,cap,1279,1314,216,244,"survey #44, 'ELECTRIC'"
R.48pt,,429,48pt,4,cap,1506,1316,222,242,"survey #45, 'ELECTRIC'"
I.48pt,,429,48pt,4,cap,1735,1316,85,243,"survey #46, 'ELECTRIC'"
C.48pt,,429,48pt,4,cap,1833,1316,219,246,"survey #47, 'ELECTRIC'"
S.48pt,,429,48pt,5,cap,112,1589,190,247,"survey #48, 'Storm 7 Hacks'"
t.48pt,,429,48pt,5,lower,308,1615,95,220,"survey #49, 'Storm 7 Hacks'"
o.48pt,,429,48pt,5,lower,408,1666,157,169,"survey #50, 'Storm 7 Hacks'"
r.48pt,,429,48pt,5,lower,569,1664,127,169,"survey #51, 'Storm 7 Hacks'"
m,006D,429,48pt,5,lower,697,1664,286,169,"survey #52, 'Storm 7 Hacks'"
seven,0037,429,48pt,5,figure,1112,1593,159,247,"survey #53, 'Storm 7 Hacks'"
H,0048,429,48pt,5,cap,1401,1590,220,244,"survey #54, 'Storm 7 Hacks'"
a.48pt,,429,48pt,5,lower,1636,1668,168,170,"survey #55, 'Storm 7 Hacks'"
c,0063,429,48pt,5,lower,1807,1668,153,169,"survey #56, 'Storm 7 Hacks'"
k.48pt,,429,48pt,5,lower,1972,1593,182,242,"survey #57, 'Storm 7 Hacks'"
s.48pt,,429,48pt,5,lower,2157,1669,136,169,"survey #58, 'Storm 7 Hacks'"
E.36pt,,429,36pt,2,cap,366,695,181,198,"survey #16, 'EAST GROVE'"
A,0041,429,36pt,2,cap,546,698,186,198,"survey #17, 'EAST GROVE'"
S.36pt,,429,36pt,2,cap,731,697,144,201,"survey #18, 'EAST GROVE'"
T.36pt,,429,36pt,2,cap,877,695,163,198,"survey #19, 'EAST GROVE'"
G.36pt,,429,36pt,2,cap,1145,697,169,201,"survey #20, 'EAST GROVE'"
R.36pt,,429,36pt,2,cap,1324,699,173,198,"survey #21, 'EAST GROVE'"
O.36pt,,429,36pt,2,cap,1503,701,185,198,"survey #22, 'EAST GROVE'"
V,0056,429,36pt,2,cap,1693,701,169,196,"survey #23, 'EAST GROVE'"
E.36pt_2,,429,36pt,2,cap,1866,701,180,199,"survey #24, 'EAST GROVE'"
P,0050,429,36pt,3,cap,117,910,154,196,"survey #25, 'Pleasing 3 Comedy'"
l.36pt,,429,36pt,3,lower,276,908,59,197,"survey #26, 'Pleasing 3 Comedy'"
e.36pt,,429,36pt,3,lower,343,961,116,145,"survey #27, 'Pleasing 3 Comedy'"
a.36pt,,429,36pt,3,lower,465,964,129,140,"survey #28, 'Pleasing 3 Comedy'"
s.36pt,,429,36pt,3,lower,592,964,110,139,"survey #29, 'Pleasing 3 Comedy'"
i.36pt,,429,36pt,3,lower,701,920,61,184,"survey #30, 'Pleasing 3 Comedy'"
n.36pt,,429,36pt,3,lower,767,963,147,142,"survey #31, 'Pleasing 3 Comedy'"
g.36pt,,429,36pt,3,lower,915,939,117,198,"survey #32, 'Pleasing 3 Comedy'"
three,0033,429,36pt,3,figure,1134,908,118,196,"survey #33, 'Pleasing 3 Comedy'"
C.36pt,,429,36pt,3,cap,1370,909,173,197,"survey #34, 'Pleasing 3 Comedy'"
o.36pt,,429,36pt,3,lower,1545,964,123,143,"survey #35, 'Pleasing 3 Comedy'"
m.36pt,,429,36pt,3,lower,1673,965,229,142,"survey #36, 'Pleasing 3 Comedy'"
e.36pt_2,,429,36pt,3,lower,1909,966,116,144,"survey #37, 'Pleasing 3 Comedy'"
d.36pt,,429,36pt,3,lower,2029,911,132,196,"survey #38, 'Pleasing 3 Comedy'"
y.36pt,,429,36pt,3,lower,2161,969,139,170,"survey #39, 'Pleasing 3 Comedy'"
S.30pt,,428,30pt,4,cap,467,3238,126,171,"survey #54, 'STORM CLOUDS'"
T.30pt,,428,30pt,4,cap,596,3240,140,170,"survey #55, 'STORM CLOUDS'"
O.30pt,,428,30pt,4,cap,738,3241,157,170,"survey #56, 'STORM CLOUDS'"
R.30pt,,428,30pt,4,cap,903,3240,142,169,"survey #57, 'STORM CLOUDS'"
M,004D,428,30pt,4,cap,1047,3239,169,171,"survey #58, 'STORM CLOUDS'"
C.30pt,,428,30pt,4,cap,1304,3239,144,172,"survey #59, 'STORM CLOUDS'"
L.30pt,,428,30pt,4,cap,1452,3239,132,169,"survey #60, 'STORM CLOUDS'"
O.30pt_2,,428,30pt,4,cap,1585,3240,157,170,"survey #61, 'STORM CLOUDS'"
U,0055,428,30pt,4,cap,1747,3239,139,171,"survey #62, 'STORM CLOUDS'"
D.30pt,,428,30pt,4,cap,1891,3238,148,169,"survey #63, 'STORM CLOUDS'"
S.30pt_2,,428,30pt,4,cap,2043,3237,126,171,"survey #64, 'STORM CLOUDS'"
M.30pt,,428,30pt,5,cap,218,3438,167,171,"survey #65, 'Moonlight on 2 the Lake'"
o.30pt,,428,30pt,5,lower,387,3486,101,123,"survey #66, 'Moonlight on 2 the Lake'"
o.30pt_2,,428,30pt,5,lower,489,3487,101,123,"survey #67, 'Moonlight on 2 the Lake'"
n.30pt,,428,30pt,5,lower,592,3485,118,124,"survey #68, 'Moonlight on 2 the Lake'"
l.30pt,,428,30pt,5,lower,714,3443,54,165,"survey #69, 'Moonlight on 2 the Lake'"
i.30pt,,428,30pt,5,lower,773,3450,54,157,"survey #70, 'Moonlight on 2 the Lake'"
g.30pt,,428,30pt,5,lower,829,3467,94,166,"survey #71, 'Moonlight on 2 the Lake'"
h,0068,428,30pt,5,lower,928,3439,121,170,"survey #72, 'Moonlight on 2 the Lake'"
t.30pt,,428,30pt,5,lower,1048,3462,63,148,"survey #73, 'Moonlight on 2 the Lake'"
o.30pt_3,,428,30pt,5,lower,1167,3487,101,124,"survey #74, 'Moonlight on 2 the Lake'"
n.30pt_2,,428,30pt,5,lower,1271,3486,118,124,"survey #75, 'Moonlight on 2 the Lake'"
two.30pt,,428,30pt,5,figure,1456,3438,106,170,"survey #76, 'Moonlight on 2 the Lake'"
t.30pt_2,,428,30pt,5,lower,1626,3461,63,148,"survey #77, 'Moonlight on 2 the Lake'"
h.30pt,,428,30pt,5,lower,1693,3439,120,169,"survey #78, 'Moonlight on 2 the Lake'"
e.30pt,,428,30pt,5,lower,1817,3487,94,122,"survey #79, 'Moonlight on 2 the Lake'"
L.30pt_2,,428,30pt,5,cap,1973,3439,131,169,"survey #80, 'Moonlight on 2 the Lake'"
a.30pt,,428,30pt,5,lower,2103,3485,103,124,"survey #81, 'Moonlight on 2 the Lake'"
k.30pt,,428,30pt,5,lower,2206,3440,122,167,"survey #82, 'Moonlight on 2 the Lake'"
e.30pt_2,,428,30pt,5,lower,2329,3485,94,122,"survey #83, 'Moonlight on 2 the Lake'"
