glyph,unicode,leaf,line,band,category,x,y,w,h,notes
C,0043,295,72pt,6,cap,395,2694,269,366,"survey #47, 'CENTER'"
E,0045,295,72pt,6,cap,679,2690,276,391,"survey #48, 'CENTER'"
N,004E,295,72pt,6,cap,965,2703,289,355,"survey #49, 'CENTER'"
T,0054,295,72pt,6,cap,1265,2687,275,366,"survey #50, 'CENTER'"
E.72pt,,295,72pt,6,cap,1555,2687,276,391,"survey #51, 'CENTER'"
R,0052,295,72pt,6,cap,1840,2703,283,407,"survey #52, 'CENTER'"
S,0053,295,72pt,7,cap,188,3159,257,360,"survey #53, 'Sun 2 Cap'"
u,0075,295,72pt,7,lower,458,3251,282,276,"survey #54, 'Sun 2 Cap'"
n,006E,295,72pt,7,lower,747,3253,275,285,"survey #55, 'Sun 2 Cap'"
two,0032,295,72pt,7,figure,1147,3164,278,378,"survey #56, 'Sun 2 Cap'"
C.72pt,,295,72pt,7,cap,1563,3154,270,366,"survey #57, 'Sun 2 Cap'"
a,0061,295,72pt,7,lower,1854,3252,248,268,"survey #58, 'Sun 2 Cap'"
p,0070,295,72pt,7,lower,2108,3245,239,336,"survey #59, 'Sun 2 Cap'"
T.60pt,,295,60pt,4,cap,332,1604,236,305,"survey #31, 'TOBACCO'"
O,004F,295,60pt,4,cap,583,1608,248,305,"survey #32, 'TOBACCO'"
B,0042,295,60pt,4,cap,849,1615,268,295,"survey #33, 'TOBACCO'"
A,0041,295,60pt,4,cap,1128,1603,285,305,"survey #34, 'TOBACCO'"
C.60pt,,295,60pt,4,cap,1427,1606,231,308,"survey #35, 'TOBACCO'"
C.60pt_2,,295,60pt,4,cap,1678,1605,232,308,"survey #36, 'TOBACCO'"
O.60pt,,295,60pt,4,cap,1929,1606,248,304,"survey #37, 'TOBACCO'"
B.60pt,,295,60pt,5,cap,174,2026,262,294,"survey #38, 'Blue 8 Tags'"
l,006C,295,60pt,5,lower,453,2016,99,303,"survey #39, 'Blue 8 Tags'"
u.60pt,,295,60pt,5,lower,558,2090,229,239,"survey #40, 'Blue 8 Tags'"
e,0065,295,60pt,5,lower,802,2095,188,228,"survey #41, 'Blue 8 Tags'"
eight,0038,295,60pt,5,figure,1129,2017,226,309,"survey #42, 'Blue 8 Tags'"
T.60pt_2,,295,60pt,5,cap,1497,2012,238,305,"survey #43, 'Blue 8 Tags'"
a.60pt,,295,60pt,5,lower,1747,2091,203,231,"survey #44, 'Blue 8 Tags'"
g,0067,295,60pt,5,lower,1954,2094,210,292,"survey #45, 'Blue 8 Tags'"
s,0073,295,60pt,5,lower,2171,2093,174,226,"survey #46, 'Blue 8 Tags'"
