glyph,unicode,leaf,line,band,category,x,y,w,h,notes
H,0048,297,96pt,6,cap,371,2471,459,524,"survey #41, 'HOPS'"
O,004F,297,96pt,6,cap,862,2465,436,537,"survey #42, 'HOPS'"
P,0050,297,96pt,6,cap,1328,2469,429,526,"survey #43, 'HOPS'"
S,0053,297,96pt,6,cap,1789,2463,386,538,"survey #44, 'HOPS'"
M,004D,297,96pt,7,cap,185,3030,535,526,"survey #45, 'MINE 5'"
I,0049,297,96pt,7,cap,735,3037,180,522,"survey #46, 'MINE 5'"
N,004E,297,96pt,7,cap,941,3030,423,528,"survey #47, 'MINE 5'"
E,0045,297,96pt,7,cap,1390,3015,402,560,"survey #48, 'MINE 5'"
five,0035,297,96pt,7,figure,1954,3019,386,543,"survey #49, 'MINE 5'"
B,0042,297,72pt,4,cap,380,1507,293,353,"survey #27, 'BUGLES'"
U,0055,297,72pt,4,cap,687,1507,289,361,"survey #28, 'BUGLES'"
G,0047,297,72pt,4,cap,992,1502,284,361,"survey #29, 'BUGLES'"
L,004C,297,72pt,4,cap,1290,1506,274,380,"survey #30, 'BUGLES'"
E.72pt,,297,72pt,4,cap,1578,1490,275,394,"survey #31, 'BUGLES'"
S.72pt,,297,72pt,4,cap,1874,1502,261,360,"survey #32, 'BUGLES'"
T,0054,297,72pt,5,cap,177,1889,271,369,"survey #33, 'Tin 2 Horn'"
i,0069,297,72pt,5,lower,458,1919,116,340,"survey #34, 'Tin 2 Horn'"
n,006E,297,72pt,5,lower,575,1900,283,360,"survey #35, 'Tin 2 Horn'"
two,0032,297,72pt,5,figure,933,1904,278,381,"survey #36, 'Tin 2 Horn'"
H.72pt,,297,72pt,5,cap,1292,1905,303,352,"survey #37, 'Tin 2 Horn'"
o,006F,297,72pt,5,lower,1613,1995,228,267,"survey #38, 'Tin 2 Horn'"
r,0072,297,72pt,5,lower,1857,1993,206,268,"survey #39, 'Tin 2 Horn'"
n.72pt,,297,72pt,5,lower,2071,1993,280,265,"survey #40, 'Tin 2 Horn'"
M.60pt,,297,60pt,2,cap,481,674,337,294,"survey #12, 'MARINE'"
A,0041,297,60pt,2,cap,823,663,285,304,"survey #13, 'MARINE'"
R,0052,297,60pt,2,cap,1123,672,245,346,"survey #14, 'MARINE'"
I.60pt,,297,60pt,2,cap,1387,675,102,293,"survey #15, 'MARINE'"
N.60pt,,297,60pt,2,cap,1513,672,255,300,"survey #16, 'MARINE'"
E.60pt,,297,60pt,2,cap,1792,661,243,321,"survey #17, 'MARINE'"
B.60pt,,297,60pt,3,cap,176,1006,263,295,"survey #18, 'Band 6 Play'"
a,0061,297,60pt,3,lower,452,1074,200,229,"survey #19, 'Band 6 Play'"
n.60pt,,297,60pt,3,lower,664,1066,219,232,"survey #20, 'Band 6 Play'"
d,0064,297,60pt,3,lower,901,994,198,309,"survey #21, 'Band 6 Play'"
six,0036,297,60pt,3,figure,1217,1001,215,302,"survey #22, 'Band 6 Play'"
P.60pt,,297,60pt,3,cap,1571,1006,241,294,"survey #23, 'Band 6 Play'"
l,006C,297,60pt,3,lower,1823,999,98,299,"survey #24, 'Band 6 Play'"
a.60pt,,297,60pt,3,lower,1933,1073,199,229,"survey #25, 'Band 6 Play'"
y,0079,297,60pt,3,lower,2141,1081,209,281,"survey #26, 'Band 6 Play'"
B.48pt,,296,48pt,9,cap,319,3071,199,224,"survey #164, 'BANK CLERK'"
A.48pt,,296,48pt,9,cap,526,3065,201,230,"survey #165, 'BANK CLERK'"
N.48pt,,296,48pt,9,cap,734,3069,187,232,"survey #166, 'BANK CLERK'"
K,004B,296,48pt,9,cap,941,3063,196,232,"survey #167, 'BANK CLERK'"
C,0043,296,48pt,9,cap,1242,3064,182,236,"survey #168, 'BANK CLERK'"
L.48pt,,296,48pt,9,cap,1440,3069,177,242,"survey #169, 'BANK CLERK'"
E.48pt,,296,48pt,9,cap,1629,3061,180,245,"survey #170, 'BANK CLERK'"
R.48pt,,296,48pt,9,cap,1829,3068,191,263,"survey #171, 'BANK CLERK'"
K.48pt,,296,48pt,9,cap,2032,3067,195,226,"survey #172, 'BANK CLERK'"
R.48pt_2,,296,48pt,10,cap,184,3339,183,261,"survey #173, 'Racing 3 Outing'"
a.48pt,,296,48pt,10,lower,378,3389,151,178,"survey #174, 'Racing 3 Outing'"
c,0063,296,48pt,10,lower,540,3390,128,176,"survey #175, 'Racing 3 Outing'"
i.48pt,,296,48pt,10,lower,679,3341,81,221,"survey #176, 'Racing 3 Outing'"
n.48pt,,296,48pt,10,lower,770,3383,174,178,"survey #177, 'Racing 3 Outing'"
g,0067,296,48pt,10,lower,957,3386,168,228,"survey #178, 'Racing 3 Outing'"
three,0033,296,48pt,10,figure,1190,3333,158,232,"survey #179, 'Racing 3 Outing'"
O.48pt,,296,48pt,10,cap,1421,3335,196,229,"survey #180, 'Racing 3 Outing'"
u,0075,296,48pt,10,lower,1625,3379,183,184,"survey #181, 'Racing 3 Outing'"
t,0074,296,48pt,10,lower,1817,3350,104,212,"survey #182, 'Racing 3 Outing'"
i.48pt_2,,296,48pt,10,lower,1928,3339,81,221,"survey #183, 'Racing 3 Outing'"
n.48pt_2,,296,48pt,10,lower,2019,3380,173,179,"survey #184, 'Racing 3 Outing'"
g.48pt,,296,48pt,10,lower,2205,3383,168,228,"survey #185, 'Racing 3 Outing'"
O.36pt,,296,36pt,7,cap,469,2444,138,190,"survey #135, 'OPERA HOUSE'"
P.36pt,,296,36pt,7,cap,614,2447,148,185,"survey #136, 'OPERA HOUSE'"
E.36pt,,296,36pt,7,cap,765,2441,143,204,"survey #137, 'OPERA HOUSE'"
R.36pt,,296,36pt,7,cap,922,2447,146,214,"survey #138, 'OPERA HOUSE'"
A.36pt,,296,36pt,7,cap,1069,2442,163,189,"survey #139, 'OPERA HOUSE'"
H.36pt,,296,36pt,7,cap,1332,2446,156,185,"survey #140, 'OPERA HOUSE'"
O.36pt_2,,296,36pt,7,cap,1496,2444,138,190,"survey #141, 'OPERA HOUSE'"
U.36pt,,296,36pt,7,cap,1641,2446,147,188,"survey #142, 'OPERA HOUSE'"
S.36pt,,296,36pt,7,cap,1793,2441,125,192,"survey #143, 'OPERA HOUSE'"
E.36pt_2,,296,36pt,7,cap,1926,2441,142,203,"survey #144, 'OPERA HOUSE'"
F,0046,296,36pt,8,cap,169,2676,135,190,"survey #145, 'Financial 8 Questions'"
i.36pt,,296,36pt,8,lower,306,2685,60,181,"survey #146, 'Financial 8 Questions'"
n.36pt,,296,36pt,8,lower,370,2721,126,145,"survey #147, 'Financial 8 Questions'"
a.36pt,,296,36pt,8,lower,498,2722,117,146,"survey #148, 'Financial 8 Questions'"
n.36pt_2,,296,36pt,8,lower,616,2721,126,145,"survey #149, 'Financial 8 Questions'"
c.36pt,,296,36pt,8,lower,744,2722,105,145,"survey #150, 'Financial 8 Questions'"
i.36pt_2,,296,36pt,8,lower,854,2685,60,181,"survey #151, 'Financial 8 Questions'"
a.36pt_2,,296,36pt,8,lower,917,2721,117,147,"survey #152, 'Financial 8 Questions'"
l.36pt,,296,36pt,8,lower,1033,2679,58,186,"survey #153, 'Financial 8 Questions'"
eight,0038,296,36pt,8,figure,1176,2678,131,190,"survey #154, 'Financial 8 Questions'"
Q,0051,296,36pt,8,cap,1412,2678,141,224,"survey #155, 'Financial 8 Questions'"
u.36pt,,296,36pt,8,lower,1556,2719,128,147,"survey #156, 'Financial 8 Questions'"
e,0065,296,36pt,8,lower,1683,2720,110,146,"survey #157, 'Financial 8 Questions'"
s,0073,296,36pt,8,lower,1798,2720,98,147,"survey #158, 'Financial 8 Questions'"
t.36pt,,296,36pt,8,lower,1898,2695,76,171,"survey #159, 'Financial 8 Questions'"
i.36pt_3,,296,36pt,8,lower,1975,2684,60,180,"survey #160, 'Financial 8 Questions'"
o.36pt,,296,36pt,8,lower,2039,2719,102,147,"survey #161, 'Financial 8 Questions'"
n.36pt_3,,296,36pt,8,lower,2148,2719,126,145,"survey #162, 'Financial 8 Questions'"
s.36pt,,296,36pt,8,lower,2275,2719,98,147,"survey #163, 'Financial 8 Questions'"
S.30pt,,296,30pt,5,cap,363,1908,111,164,"survey #98, 'SEVENTH DISTRICT'"
E.30pt,,296,30pt,5,cap,483,1906,119,169,"survey #99, 'SEVENTH DISTRICT'"
V,0056,296,30pt,5,cap,607,1910,125,159,"survey #100, 'SEVENTH DISTRICT'"
E.30pt_2,,296,30pt,5,cap,737,1905,119,169,"survey #101, 'SEVENTH DISTRICT'"
N.30pt,,296,30pt,5,cap,865,1910,122,161,"survey #102, 'SEVENTH DISTRICT'"
T.30pt,,296,30pt,5,cap,992,1904,114,164,"survey #103, 'SEVENTH DISTRICT'"
H.30pt,,296,30pt,5,cap,1113,1909,127,158,"survey #104, 'SEVENTH DISTRICT'"
D,0044,296,30pt,5,cap,1332,1909,127,158,"survey #105, 'SEVENTH DISTRICT'"
I.30pt,,296,30pt,5,cap,1467,1911,53,157,"survey #106, 'SEVENTH DISTRICT'"
S.30pt_2,,296,30pt,5,cap,1528,1907,111,165,"survey #107, 'SEVENTH DISTRICT'"
