glyph,unicode,leaf,line,band,category,x,y,w,h,notes
M,004D,423,72pt,8,cap,474,2844,333,349,"survey #93, 'MODERN'"
O,004F,423,72pt,8,cap,821,2845,236,355,"survey #94, 'MODERN'"
D,0044,423,72pt,8,cap,1082,2848,227,348,"survey #95, 'MODERN'"
E,0045,423,72pt,8,cap,1332,2847,200,349,"survey #96, 'MODERN'"
R,0052,423,72pt,8,cap,1552,2848,210,348,"survey #97, 'MODERN'"
N,004E,423,72pt,8,cap,1772,2846,209,348,"survey #98, 'MODERN'"
A,0041,423,72pt,9,cap,144,3237,252,350,"survey #99, 'Auditorium 8'"
u,0075,423,72pt,9,lower,415,3308,178,286,"survey #100, 'Auditorium 8'"
d,0064,423,72pt,9,lower,607,3241,179,350,"survey #101, 'Auditorium 8'"
i,0069,423,72pt,9,lower,808,3243,74,348,"survey #102, 'Auditorium 8'"
t,0074,423,72pt,9,lower,895,3247,156,346,"survey #103, 'Auditorium 8'"
o,006F,423,72pt,9,lower,1057,3307,182,287,"survey #104, 'Auditorium 8'"
r,0072,423,72pt,9,lower,1254,3308,163,283,"survey #105, 'Auditorium 8'"
i.72pt,,423,72pt,9,lower,1427,3244,76,347,"survey #106, 'Auditorium 8'"
u.72pt,,423,72pt,9,lower,1525,3310,178,286,"survey #107, 'Auditorium 8'"
m,006D,423,72pt,9,lower,1724,3302,275,284,"survey #108, 'Auditorium 8'"
eight,0038,423,72pt,9,figure,2094,3243,224,352,"survey #109, 'Auditorium 8'"
A.60pt,,423,60pt,6,cap,448,2012,207,299,"survey #74, 'AMERICAN'"
M.60pt,,423,60pt,6,cap,666,2014,276,299,"survey #75, 'AMERICAN'"
E.60pt,,423,60pt,6,cap,960,2014,171,298,"survey #76, 'AMERICAN'"
R.60pt,,423,60pt,6,cap,1146,2014,182,298,"survey #77, 'AMERICAN'"
I,0049,423,60pt,6,cap,1340,2016,71,298,"survey #78, 'AMERICAN'"
C,0043,423,60pt,6,cap,1428,2012,184,301,"survey #79, 'AMERICAN'"
A.60pt_2,,423,60pt,6,cap,1616,2013,208,298,"survey #80, 'AMERICAN'"
N.60pt,,423,60pt,6,cap,1835,2014,173,297,"survey #81, 'AMERICAN'"
S,0053,423,60pt,7,cap,143,2342,191,299,"survey #82, 'Sand 94 Banks'"
a,0061,423,60pt,7,lower,338,2399,145,245,"survey #83, 'Sand 94 Banks'"
n,006E,423,60pt,7,lower,499,2397,143,246,"survey #84, 'Sand 94 Banks'"
d.60pt,,423,60pt,7,lower,656,2345,147,299,"survey #85, 'Sand 94 Banks'"
nine,0039,423,60pt,7,figure,950,2345,186,299,"survey #86, 'Sand 94 Banks'"
four,0034,423,60pt,7,figure,1143,2343,189,301,"survey #87, 'Sand 94 Banks'"
B,0042,423,60pt,7,cap,1483,2346,201,297,"survey #88, 'Sand 94 Banks'"
a.60pt,,423,60pt,7,lower,1692,2400,145,244,"survey #89, 'Sand 94 Banks'"
n.60pt,,423,60pt,7,lower,1853,2396,143,245,"survey #90, 'Sand 94 Banks'"
k,006B,423,60pt,7,lower,2014,2342,153,298,"survey #91, 'Sand 94 Banks'"
s,0073,423,60pt,7,lower,2172,2400,150,245,"survey #92, 'Sand 94 Banks'"
F,0046,423,48pt,4,cap,429,1305,130,246,"survey #47, 'FOUNDATIONS'"
O.48pt,,423,48pt,4,cap,562,1303,157,248,"survey #48, 'FOUNDATIONS'"
U,0055,423,48pt,4,cap,727,1304,130,248,"survey #49, 'FOUNDATIONS'"
N.48pt,,423,48pt,4,cap,868,1304,138,245,"survey #50, 'FOUNDATIONS'"
D.48pt,,423,48pt,4,cap,1017,1305,155,245,"survey #51, 'FOUNDATIONS'"
A.48pt,,423,48pt,4,cap,1174,1304,173,245,"survey #52, 'FOUNDATIONS'"
T,0054,423,48pt,4,cap,1350,1304,150,246,"survey #53, 'FOUNDATIONS'"
I.48pt,,423,48pt,4,cap,1510,1304,55,245,"survey #54, 'FOUNDATIONS'"
O.48pt_2,,423,48pt,4,cap,1575,1304,157,247,"survey #55, 'FOUNDATIONS'"
N.48pt_2,,423,48pt,4,cap,1739,1305,138,244,"survey #56, 'FOUNDATIONS'"
S.48pt,,423,48pt,4,cap,1882,1305,157,246,"survey #57, 'FOUNDATIONS'"
