glyph,unicode,leaf,line,band,category,x,y,w,h,notes
C,0043,324,72pt,9,cap,202,3192,71,361,"survey #241, 'CHRISTMAS 8 Present Shipped'"
H,0048,324,72pt,9,cap,280,3192,97,360,"survey #242, 'CHRISTMAS 8 Present Shipped'"
R,0052,324,72pt,9,cap,387,3193,98,361,"survey #243, 'CHRISTMAS 8 Present Shipped'"
I,0049,324,72pt,9,cap,494,3192,42,361,"survey #244, 'CHRISTMAS 8 Present Shipped'"
S,0053,324,72pt,9,cap,542,3194,95,363,"survey #245, 'CHRISTMAS 8 Present Shipped'"
T,0054,324,72pt,9,cap,644,3194,82,360,"survey #246, 'CHRISTMAS 8 Present Shipped'"
M,004D,324,72pt,9,cap,736,3193,114,362,"survey #247, 'CHRISTMAS 8 Present Shipped'"
A,0041,324,72pt,9,cap,857,3196,106,359,"survey #248, 'CHRISTMAS 8 Present Shipped'"
S.72pt,,324,72pt,9,cap,968,3195,95,363,"survey #249, 'CHRISTMAS 8 Present Shipped'"
eight,0038,324,72pt,9,figure,1136,3192,81,365,"survey #250, 'CHRISTMAS 8 Present Shipped'"
P,0050,324,72pt,9,cap,1296,3194,95,361,"survey #251, 'CHRISTMAS 8 Present Shipped'"
r,0072,324,72pt,9,lower,1396,3248,57,307,"survey #252, 'CHRISTMAS 8 Present Shipped'"
e,0065,324,72pt,9,lower,1455,3250,71,308,"survey #253, 'CHRISTMAS 8 Present Shipped'"
s,0073,324,72pt,9,lower,1528,3251,72,305,"survey #254, 'CHRISTMAS 8 Present Shipped'"
e.72pt,,324,72pt,9,lower,1602,3250,71,308,"survey #255, 'CHRISTMAS 8 Present Shipped'"
n,006E,324,72pt,9,lower,1674,3252,75,302,"survey #256, 'CHRISTMAS 8 Present Shipped'"
t,0074,324,72pt,9,lower,1752,3194,56,362,"survey #257, 'CHRISTMAS 8 Present Shipped'"
S.72pt_2,,324,72pt,9,cap,1877,3194,95,364,"survey #258, 'CHRISTMAS 8 Present Shipped'"
h,0068,324,72pt,9,lower,1980,3193,73,361,"survey #259, 'CHRISTMAS 8 Present Shipped'"
i,0069,324,72pt,9,lower,2060,3194,35,359,"survey #260, 'CHRISTMAS 8 Present Shipped'"
p,0070,324,72pt,9,lower,2100,3249,75,379,"survey #261, 'CHRISTMAS 8 Present Shipped'"
p.72pt,,324,72pt,9,lower,2178,3250,74,378,"survey #262, 'CHRISTMAS 8 Present Shipped'"
e.72pt_2,,324,72pt,9,lower,2255,3249,72,307,"survey #263, 'CHRISTMAS 8 Present Shipped'"
d,0064,324,72pt,9,lower,2329,3192,73,363,"survey #264, 'CHRISTMAS 8 Present Shipped'"
H.60pt,,324,60pt,8,cap,206,2717,91,304,"survey #214, 'Hundreds Receiving 7 DONATIONS'"
u,0075,324,60pt,8,lower,303,2766,70,257,"survey #215, 'Hundreds Receiving 7 DONATIONS'"
n.60pt,,324,60pt,8,lower,376,2765,69,255,"survey #216, 'Hundreds Receiving 7 DONATIONS'"
d.60pt,,324,60pt,8,lower,452,2715,70,307,"survey #217, 'Hundreds Receiving 7 DONATIONS'"
r.60pt,,324,60pt,8,lower,529,2763,51,259,"survey #218, 'Hundreds Receiving 7 DONATIONS'"
e.60pt,,324,60pt,8,lower,582,2762,68,261,"survey #219, 'Hundreds Receiving 7 DONATIONS'"
d.60pt_2,,324,60pt,8,lower,656,2716,70,306,"survey #220, 'Hundreds Receiving 7 DONATIONS'"
s.60pt,,324,60pt,8,lower,728,2767,70,257,"survey #221, 'Hundreds Receiving 7 DONATIONS'"
R.60pt,,324,60pt,8,cap,860,2717,95,305,"survey #222, 'Hundreds Receiving 7 DONATIONS'"
e.60pt_2,,324,60pt,8,lower,955,2763,69,261,"survey #223, 'Hundreds Receiving 7 DONATIONS'"
c,0063,324,60pt,8,lower,1027,2764,62,260,"survey #224, 'Hundreds Receiving 7 DONATIONS'"
e.60pt_3,,324,60pt,8,lower,1090,2763,69,261,"survey #225, 'Hundreds Receiving 7 DONATIONS'"
i.60pt,,324,60pt,8,lower,1164,2717,33,305,"survey #226, 'Hundreds Receiving 7 DONATIONS'"
v,0076,324,60pt,8,lower,1201,2767,79,255,"survey #227, 'Hundreds Receiving 7 DONATIONS'"
i.60pt_2,,324,60pt,8,lower,1284,2717,33,305,"survey #228, 'Hundreds Receiving 7 DONATIONS'"
n.60pt_2,,324,60pt,8,lower,1322,2765,71,256,"survey #229, 'Hundreds Receiving 7 DONATIONS'"
g,0067,324,60pt,8,lower,1399,2720,72,364,"survey #230, 'Hundreds Receiving 7 DONATIONS'"
seven,0037,324,60pt,8,figure,1524,2717,79,306,"survey #231, 'Hundreds Receiving 7 DONATIONS'"
D,0044,324,60pt,8,cap,1660,2717,91,308,"survey #232, 'Hundreds Receiving 7 DONATIONS'"
