glyph,unicode,leaf,line,band,category,x,y,w,h,notes
R,0052,385,72pt,8,cap,386,2795,334,359,"survey #64, 'ROAST'"
O,004F,385,72pt,8,cap,756,2795,318,359,"survey #65, 'ROAST'"
A,0041,385,72pt,8,cap,1081,2794,342,353,"survey #66, 'ROAST'"
S,0053,385,72pt,8,cap,1465,2797,304,357,"survey #67, 'ROAST'"
T,0054,385,72pt,8,cap,1776,2785,284,362,"survey #68, 'ROAST'"
B,0042,385,72pt,9,cap,132,3185,262,350,"survey #69, 'Big 8 Load'"
i,0069,385,72pt,9,lower,420,3191,104,350,"survey #70, 'Big 8 Load'"
g,0067,385,72pt,9,lower,524,3304,239,324,"survey #71, 'Big 8 Load'"
eight,0038,385,72pt,9,figure,928,3193,243,357,"survey #72, 'Big 8 Load'"
L,004C,385,72pt,9,cap,1328,3195,246,348,"survey #73, 'Big 8 Load'"
o,006F,385,72pt,9,lower,1600,3305,197,245,"survey #74, 'Big 8 Load'"
a,0061,385,72pt,9,lower,1824,3304,223,248,"survey #75, 'Big 8 Load'"
d,0064,385,72pt,9,lower,2072,3191,222,360,"survey #76, 'Big 8 Load'"
R.60pt,,385,60pt,6,cap,498,1980,292,303,"survey #51, 'RURAL'"
U,0055,385,60pt,6,cap,844,1976,243,304,"survey #52, 'RURAL'"
R.60pt_2,,385,60pt,6,cap,1095,1982,293,303,"survey #53, 'RURAL'"
A.60pt,,385,60pt,6,cap,1393,1982,290,297,"survey #54, 'RURAL'"
L.60pt,,385,60pt,6,cap,1710,1987,207,292,"survey #55, 'RURAL'"
i.60pt,,385,60pt,7,lower,687,2311,92,298,"survey #57, '[Ma]il 25 Ba[gs]'"
l,006C,385,60pt,7,lower,792,2308,100,301,"survey #58, '[Ma]il 25 Ba[gs]'"
two,0032,385,60pt,7,figure,980,2316,204,295,"survey #59, '[Ma]il 25 Ba[gs]'"
five,0035,385,60pt,7,figure,1199,2318,213,297,"survey #60, '[Ma]il 25 Ba[gs]'"
B.60pt,,385,60pt,7,cap,1514,2314,229,297,"survey #61, '[Ma]il 25 Ba[gs]'"
a.60pt,,385,60pt,7,lower,1762,2404,193,213,"survey #62, '[Ma]il 25 Ba[gs]'"
B.48pt,,385,48pt,4,cap,409,1273,186,246,"survey #32, 'BU[IL]D[IN]G'"
U.48pt,,385,48pt,4,cap,621,1271,196,250,"survey #33, 'BU[IL]D[IN]G'"
D,0044,385,48pt,4,cap,1147,1274,229,247,"survey #35, 'BU[IL]D[IN]G'"
G,0047,385,48pt,4,cap,1798,1274,209,249,"survey #37, 'BU[IL]D[IN]G'"
r,0072,385,48pt,5,lower,427,1614,122,170,"survey #39, '[St]rong 37 Bridge'"
o.48pt,,385,48pt,5,lower,562,1611,138,179,"survey #40, '[St]rong 37 Bridge'"
n,006E,385,48pt,5,lower,712,1613,145,174,"survey #41, '[St]rong 37 Bridge'"
g.48pt,,385,48pt,5,lower,861,1609,164,232,"survey #42, '[St]rong 37 Bridge'"
three,0033,385,48pt,5,figure,1077,1540,167,250,"survey #43, '[St]rong 37 Bridge'"
seven,0037,385,48pt,5,figure,1263,1543,159,243,"survey #44, '[St]rong 37 Bridge'"
B.48pt_2,,385,48pt,5,cap,1451,1539,188,247,"survey #45, '[St]rong 37 Bridge'"
r.48pt,,385,48pt,5,lower,1652,1615,122,171,"survey #46, '[St]rong 37 Bridge'"
