glyph,unicode,leaf,line,band,category,x,y,w,h,notes
B,0042,388,72pt,5,cap,497,1569,227,353,"survey #35, 'BRAINS'"
R,0052,388,72pt,5,cap,745,1570,262,358,"survey #36, 'BRAINS'"
A,0041,388,72pt,5,cap,1017,1570,358,353,"survey #37, 'BRAINS'"
I,0049,388,72pt,5,cap,1386,1571,159,352,"survey #38, 'BRAINS'"
N,004E,388,72pt,5,cap,1566,1571,348,352,"survey #39, 'BRAINS'"
S,0053,388,72pt,5,cap,1933,1568,256,367,"survey #40, 'BRAINS'"
B.72pt,,388,72pt,6,cap,247,2004,226,353,"survey #41, 'Big 6 Head'"
i,0069,388,72pt,6,lower,495,2007,108,350,"survey #42, 'Big 6 Head'"
g,0067,388,72pt,6,lower,617,2064,191,373,"survey #43, 'Big 6 Head'"
six,0036,388,72pt,6,figure,983,1999,210,370,"survey #44, 'Big 6 Head'"
H,0048,388,72pt,6,cap,1373,2005,409,354,"survey #45, 'Big 6 Head'"
e,0065,388,72pt,6,lower,1799,2114,181,251,"survey #46, 'Big 6 Head'"
a,0061,388,72pt,6,lower,1993,2114,201,252,"survey #47, 'Big 6 Head'"
d,0064,388,72pt,6,lower,2210,2002,217,363,"survey #48, 'Big 6 Head'"
R.60pt,,388,60pt,3,cap,451,697,219,298,"survey #17, 'ROCKERS'"
O,004F,388,60pt,3,cap,686,691,283,307,"survey #18, 'ROCKERS'"
C,0043,388,60pt,3,cap,993,694,244,306,"survey #19, 'ROCKERS'"
K,004B,388,60pt,3,cap,1254,698,273,295,"survey #20, 'ROCKERS'"
E,0045,388,60pt,3,cap,1545,693,212,301,"survey #21, 'ROCKERS'"
R.60pt_2,,388,60pt,3,cap,1771,699,221,301,"survey #22, 'ROCKERS'"
S.60pt,,388,60pt,3,cap,2006,701,215,304,"survey #23, 'ROCKERS'"
F,0046,388,60pt,4,cap,245,1060,211,298,"survey #24, 'Fancy 5 Chair'"
a.60pt,,388,60pt,4,lower,469,1148,172,213,"survey #25, 'Fancy 5 Chair'"
n,006E,388,60pt,4,lower,651,1145,191,213,"survey #26, 'Fancy 5 Chair'"
c,0063,388,60pt,4,lower,851,1148,152,214,"survey #27, 'Fancy 5 Chair'"
y,0079,388,60pt,4,lower,1011,1153,193,281,"survey #28, 'Fancy 5 Chair'"
five,0035,388,60pt,4,figure,1286,1060,185,310,"survey #29, 'Fancy 5 Chair'"
C.60pt,,388,60pt,4,cap,1560,1063,245,307,"survey #30, 'Fancy 5 Chair'"
h,0068,388,60pt,4,lower,1813,1061,185,301,"survey #31, 'Fancy 5 Chair'"
a.60pt_2,,388,60pt,4,lower,2011,1152,172,213,"survey #32, 'Fancy 5 Chair'"
i.60pt,,388,60pt,4,lower,2194,1067,96,295,"survey #33, 'Fancy 5 Chair'"
r,0072,388,60pt,4,lower,2302,1153,138,211,"survey #34, 'Fancy 5 Chair'"
F.54pt,,387,54pt,8,cap,420,2905,195,274,"survey #89, 'FOREIGN'"
O.54pt,,387,54pt,8,cap,628,2908,261,283,"survey #90, 'FOREIGN'"
R.54pt,,387,54pt,8,cap,905,2909,205,276,"survey #91, 'FOREIGN'"
E.54pt,,387,54pt,8,cap,1122,2906,195,275,"survey #92, 'FOREIGN'"
I.54pt,,387,54pt,8,cap,1329,2909,125,272,"survey #93, 'FOREIGN'"
G,0047,387,54pt,8,cap,1467,2906,258,283,"survey #94, 'FOREIGN'"
N.54pt,,387,54pt,8,cap,1734,2907,271,271,"survey #95, 'FOREIGN'"
S.54pt,,387,54pt,9,cap,131,3234,195,288,"survey #96, 'Ships [26] Boats'"
h.54pt,,387,54pt,9,lower,337,3234,168,276,"survey #97, 'Ships [26] Boats'"
i.54pt,,387,54pt,9,lower,514,3241,86,270,"survey #98, 'Ships [26] Boats'"
p,0070,387,54pt,9,lower,606,3316,173,264,"survey #99, 'Ships [26] Boats'"
s,0073,387,54pt,9,lower,789,3320,150,201,"survey #100, 'Ships [26] Boats'"
B.54pt,,387,54pt,9,cap,1540,3238,176,272,"survey #102, 'Ships [26] Boats'"
o,006F,387,54pt,9,lower,1727,3318,157,196,"survey #103, 'Ships [26] Boats'"
a.54pt,,387,54pt,9,lower,1893,3318,159,196,"survey #104, 'Ships [26] Boats'"
t,0074,387,54pt,9,lower,2053,3272,103,242,"survey #105, 'Ships [26] Boats'"
s.54pt,,387,54pt,9,lower,2159,3318,149,201,"survey #106, 'Ships [26] Boats'"
D,0044,387,48pt,6,cap,447,2105,213,246,"survey #69, 'DANCING'"
A.48pt,,387,48pt,6,cap,668,2108,245,244,"survey #70, 'DANCING'"
N.48pt,,387,48pt,6,cap,917,2108,240,246,"survey #71, 'DANCING'"
C.48pt,,387,48pt,6,cap,1174,2103,198,256,"survey #72, 'DANCING'"
I.48pt,,387,48pt,6,cap,1387,2108,110,244,"survey #73, 'DANCING'"
N.48pt_2,,387,48pt,6,cap,1508,2107,240,246,"survey #74, 'DANCING'"
G.48pt,,387,48pt,6,cap,1765,2104,226,255,"survey #75, 'DANCING'"
S.48pt,,387,48pt,7,cap,127,2401,171,253,"survey #76, 'String 47 Music'"
t.48pt,,387,48pt,7,lower,300,2423,136,231,"survey #77, 'String 47 Music'"
r.48pt,,387,48pt,7,lower,450,2476,113,173,"survey #78, 'String 47 Music'"
i.48pt,,387,48pt,7,lower,572,2407,73,243,"survey #79, 'String 47 Music'"
n.48pt,,387,48pt,7,lower,657,2474,156,177,"survey #80, 'String 47 Music'"
g.48pt,,387,48pt,7,lower,822,2446,136,258,"survey #81, 'String 47 Music'"
four,0034,387,48pt,7,figure,1065,2402,160,248,"survey #82, 'String 47 Music'"
seven,0037,387,48pt,7,figure,1228,2405,156,253,"survey #83, 'String 47 Music'"
M,004D,387,48pt,7,cap,1492,2405,261,245,"survey #84, 'String 47 Music'"
u,0075,387,48pt,7,lower,1772,2474,165,180,"survey #85, 'String 47 Music'"
s.48pt,,387,48pt,7,lower,1944,2476,135,183,"survey #86, 'String 47 Music'"
i.48pt_2,,387,48pt,7,lower,2090,2408,73,242,"survey #87, 'String 47 Music'"
c.48pt,,387,48pt,7,lower,2179,2476,126,178,"survey #88, 'String 47 Music'"
S.42pt,,387,42pt,4,cap,445,1367,159,229,"survey #45, 'SONGSTER'"
O.42pt,,387,42pt,4,cap,612,1365,210,230,"survey #46, 'SONGSTER'"
N.42pt,,387,42pt,4,cap,835,1366,219,221,"survey #47, 'SONGSTER'"
G.42pt,,387,42pt,4,cap,1066,1365,206,231,"survey #48, 'SONGSTER'"
S.42pt_2,,387,42pt,4,cap,1275,1368,160,228,"survey #49, 'SONGSTER'"
T,0054,387,42pt,4,cap,1438,1365,206,224,"survey #50, 'SONGSTER'"
E.42pt,,387,42pt,4,cap,1653,1364,159,224,"survey #51, 'SONGSTER'"
R.42pt,,387,42pt,4,cap,1822,1368,163,223,"survey #52, 'SONGSTER'"
O.42pt_2,,387,42pt,5,cap,128,1642,206,230,"survey #53, 'Operatic 38 Leader'"
p.42pt,,387,42pt,5,lower,343,1704,135,214,"survey #54, 'Operatic 38 Leader'"
e.42pt,,387,42pt,5,lower,486,1704,113,162,"survey #55, 'Operatic 38 Leader'"
r.42pt,,387,42pt,5,lower,606,1704,102,161,"survey #56, 'Operatic 38 Leader'"
a.42pt,,387,42pt,5,lower,713,1706,125,161,"survey #57, 'Operatic 38 Leader'"
t.42pt,,387,42pt,5,lower,841,1669,83,199,"survey #58, 'Operatic 38 Leader'"
i.42pt,,387,42pt,5,lower,926,1644,66,221,"survey #59, 'Operatic 38 Leader'"
c.42pt,,387,42pt,5,lower,995,1704,110,162,"survey #60, 'Operatic 38 Leader'"
three,0033,387,42pt,5,figure,1171,1642,135,230,"survey #61, 'Operatic 38 Leader'"
eight,0038,387,42pt,5,figure,1313,1643,141,229,"survey #62, 'Operatic 38 Leader'"
L,004C,387,42pt,5,cap,1537,1644,147,252,"survey #63, 'Operatic 38 Leader'"
e.42pt_2,,387,42pt,5,lower,1691,1706,113,162,"survey #64, 'Operatic 38 Leader'"
a.42pt_2,,387,42pt,5,lower,1814,1707,126,161,"survey #65, 'Operatic 38 Leader'"
d.42pt,,387,42pt,5,lower,1947,1642,136,226,"survey #66, 'Operatic 38 Leader'"
e.42pt_3,,387,42pt,5,lower,2089,1706,113,161,"survey #67, 'Operatic 38 Leader'"
r.42pt_2,,387,42pt,5,lower,2211,1704,100,161,"survey #68, 'Operatic 38 Leader'"
G.36pt,,387,36pt,2,cap,424,693,177,203,"survey #16, 'GOLD FIELDS'"
O.36pt,,387,36pt,2,cap,606,691,180,204,"survey #17, 'GOLD FIELDS'"
L.36pt,,387,36pt,2,cap,803,694,126,195,"survey #18, 'GOLD FIELDS'"
D.36pt,,387,36pt,2,cap,935,696,169,193,"survey #19, 'GOLD FIELDS'"
F.36pt,,387,36pt,2,cap,1182,694,133,196,"survey #20, 'GOLD FIELDS'"
