glyph,unicode,leaf,line,band,category,x,y,w,h,notes
D,0044,561,60pt,2,cap,454,696,238,295,"survey #14, 'Daily Paper'"
a,0061,561,60pt,2,lower,697,777,136,212,"survey #15, 'Daily Paper'"
i,0069,561,60pt,2,lower,840,705,75,285,"survey #16, 'Daily Paper'"
l,006C,561,60pt,2,lower,930,699,68,290,"survey #17, 'Daily Paper'"
y,0079,561,60pt,2,lower,1005,777,158,274,"survey #18, 'Daily Paper'"
P,0050,561,60pt,2,cap,1278,695,261,361,"survey #19, 'Daily Paper'"
a.60pt,,561,60pt,2,lower,1547,777,135,213,"survey #20, 'Daily Paper'"
p,0070,561,60pt,2,lower,1686,777,155,275,"survey #21, 'Daily Paper'"
e,0065,561,60pt,2,lower,1846,780,105,208,"survey #22, 'Daily Paper'"
r,0072,561,60pt,2,lower,1957,778,114,209,"survey #23, 'Daily Paper'"
M,004D,561,60pt,3,cap,167,1062,280,361,"survey #24, 'Morning 2 Star'"
o,006F,561,60pt,3,lower,455,1143,152,211,"survey #25, 'Morning 2 Star'"
r.60pt,,561,60pt,3,lower,613,1141,114,210,"survey #26, 'Morning 2 Star'"
n,006E,561,60pt,3,lower,728,1141,146,211,"survey #27, 'Morning 2 Star'"
i.60pt,,561,60pt,3,lower,889,1069,75,286,"survey #28, 'Morning 2 Star'"
n.60pt,,561,60pt,3,lower,971,1141,148,211,"survey #29, 'Morning 2 Star'"
g,0067,561,60pt,3,lower,1133,1141,163,275,"survey #30, 'Morning 2 Star'"
two,0032,561,60pt,3,figure,1450,1064,159,289,"survey #31, 'Morning 2 Star'"
S,0053,561,60pt,3,cap,1764,1065,207,289,"survey #32, 'Morning 2 Star'"
t,0074,561,60pt,3,lower,1977,1108,114,249,"survey #33, 'Morning 2 Star'"
a.60pt_2,,561,60pt,3,lower,2101,1142,136,213,"survey #34, 'Morning 2 Star'"
r.60pt_2,,561,60pt,3,lower,2245,1142,114,210,"survey #35, 'Morning 2 Star'"
G,0047,560,54pt,4,cap,165,2642,150,192,"survey #58, 'Grand Canyon 4 Colorado'"
r.54pt,,560,54pt,4,lower,316,2693,78,140,"survey #59, 'Grand Canyon 4 Colorado'"
a.54pt,,560,54pt,4,lower,398,2692,85,143,"survey #60, 'Grand Canyon 4 Colorado'"
n.54pt,,560,54pt,4,lower,484,2692,93,141,"survey #61, 'Grand Canyon 4 Colorado'"
d,0064,560,54pt,4,lower,586,2645,97,189,"survey #62, 'Grand Canyon 4 Colorado'"
