glyph,unicode,leaf,line,band,category,x,y,w,h,notes
C,0043,416,96pt,6,cap,489,2563,164,482,"survey #68, 'COLUMBIAN'"
O,004F,416,96pt,6,cap,672,2566,167,479,"survey #69, 'COLUMBIAN'"
L,004C,416,96pt,6,cap,867,2564,142,477,"survey #70, 'COLUMBIAN'"
U,0055,416,96pt,6,cap,1038,2561,142,484,"survey #71, 'COLUMBIAN'"
M,004D,416,96pt,6,cap,1216,2562,248,479,"survey #72, 'COLUMBIAN'"
B,0042,416,96pt,6,cap,1497,2565,159,476,"survey #73, 'COLUMBIAN'"
I,0049,416,96pt,6,cap,1687,2565,57,477,"survey #74, 'COLUMBIAN'"
A,0041,416,96pt,6,cap,1769,2564,159,478,"survey #75, 'COLUMBIAN'"
N,004E,416,96pt,6,cap,1955,2566,150,477,"survey #76, 'COLUMBIAN'"
C.96pt,,416,96pt,7,cap,207,3098,164,481,"survey #77, 'Corner 52 Halls'"
o,006F,416,96pt,7,lower,387,3217,155,363,"survey #78, 'Corner 52 Halls'"
r,0072,416,96pt,7,lower,563,3217,125,359,"survey #79, 'Corner 52 Halls'"
n,006E,416,96pt,7,lower,702,3216,133,359,"survey #80, 'Corner 52 Halls'"
e,0065,416,96pt,7,lower,857,3216,153,363,"survey #81, 'Corner 52 Halls'"
r.96pt,,416,96pt,7,lower,1031,3216,125,359,"survey #82, 'Corner 52 Halls'"
five,0035,416,96pt,7,figure,1285,3099,163,477,"survey #83, 'Corner 52 Halls'"
two,0032,416,96pt,7,figure,1472,3095,162,479,"survey #84, 'Corner 52 Halls'"
H,0048,416,96pt,7,cap,1775,3098,150,476,"survey #85, 'Corner 52 Halls'"
a,0061,416,96pt,7,lower,1951,3217,135,362,"survey #86, 'Corner 52 Halls'"
l,006C,416,96pt,7,lower,2114,3099,54,477,"survey #87, 'Corner 52 Halls'"
l.96pt,,416,96pt,7,lower,2193,3099,53,477,"survey #88, 'Corner 52 Halls'"
s,0073,416,96pt,7,lower,2263,3217,136,363,"survey #89, 'Corner 52 Halls'"
D,0044,416,72pt,4,cap,477,1570,135,358,"survey #43, 'DEEP SEA FISH'"
E,0045,416,72pt,4,cap,629,1570,114,359,"survey #44, 'DEEP SEA FISH'"
