glyph,unicode,leaf,line,band,category,x,y,w,h,notes
P,0050,569,60pt,8,cap,612,2920,288,351,"survey #95, 'Printing'"
r,0072,569,60pt,8,lower,905,2972,158,237,"survey #96, 'Printing'"
i,0069,569,60pt,8,lower,1065,2916,84,292,"survey #97, 'Printing'"
n,006E,569,60pt,8,lower,1167,2972,210,242,"survey #98, 'Printing'"
t,0074,569,60pt,8,lower,1379,2923,110,287,"survey #99, 'Printing'"
i.60pt,,569,60pt,8,lower,1490,2915,82,292,"survey #100, 'Printing'"
n.60pt,,569,60pt,8,lower,1591,2971,210,242,"survey #101, 'Printing'"
g,0067,569,60pt,8,lower,1811,2972,182,288,"survey #102, 'Printing'"
F,0046,569,60pt,9,cap,210,3280,279,339,"survey #103, 'Fine 7 Types'"
i.60pt_2,,569,60pt,9,lower,492,3279,83,293,"survey #104, 'Fine 7 Types'"
n.60pt_2,,569,60pt,9,lower,593,3337,211,241,"survey #105, 'Fine 7 Types'"
e,0065,569,60pt,9,lower,812,3341,191,232,"survey #106, 'Fine 7 Types'"
seven,0037,569,60pt,9,figure,1073,3284,197,291,"survey #107, 'Fine 7 Types'"
T,0054,569,60pt,9,cap,1339,3279,274,298,"survey #108, 'Fine 7 Types'"
y,0079,569,60pt,9,lower,1615,3335,184,283,"survey #109, 'Fine 7 Types'"
p,0070,569,60pt,9,lower,1804,3334,205,290,"survey #110, 'Fine 7 Types'"
e.60pt,,569,60pt,9,lower,2021,3337,191,232,"survey #111, 'Fine 7 Types'"
s,0073,569,60pt,9,lower,2216,3333,178,238,"survey #112, 'Fine 7 Types'"
N,004E,569,48pt,6,cap,501,2065,301,255,"survey #74, 'New Clock'"
e.48pt,,569,48pt,6,lower,803,2116,166,202,"survey #75, 'New Clock'"
w,0077,569,48pt,6,lower,967,2115,240,204,"survey #76, 'New Clock'"
C,0043,569,48pt,6,cap,1311,2065,206,253,"survey #77, 'New Clock'"
l,006C,569,48pt,6,lower,1531,2068,71,250,"survey #78, 'New Clock'"
o,006F,569,48pt,6,lower,1607,2119,153,204,"survey #79, 'New Clock'"
c,0063,569,48pt,6,lower,1767,2116,164,201,"survey #80, 'New Clock'"
k,006B,569,48pt,6,lower,1944,2066,151,249,"survey #81, 'New Clock'"
S,0053,569,48pt,7,cap,207,2365,208,251,"survey #82, 'Steel 26 Spring'"
t.48pt,,569,48pt,7,lower,420,2372,94,246,"survey #83, 'Steel 26 Spring'"
e.48pt_2,,569,48pt,7,lower,515,2415,165,202,"survey #84, 'Steel 26 Spring'"
e.48pt_3,,569,48pt,7,lower,682,2415,165,202,"survey #85, 'Steel 26 Spring'"
l.48pt,,569,48pt,7,lower,859,2368,72,250,"survey #86, 'Steel 26 Spring'"
two,0032,569,48pt,7,figure,1014,2365,165,251,"survey #87, 'Steel 26 Spring'"
six,0036,569,48pt,7,figure,1192,2369,163,250,"survey #88, 'Steel 26 Spring'"
S.48pt,,569,48pt,7,cap,1442,2364,210,252,"survey #89, 'Steel 26 Spring'"
p.48pt,,569,48pt,7,lower,1659,2411,173,247,"survey #90, 'Steel 26 Spring'"
r.48pt,,569,48pt,7,lower,1839,2412,138,202,"survey #91, 'Steel 26 Spring'"
i.48pt,,569,48pt,7,lower,1976,2362,68,250,"survey #92, 'Steel 26 Spring'"
n.48pt,,569,48pt,7,lower,2050,2410,188,203,"survey #93, 'Steel 26 Spring'"
g.48pt,,569,48pt,7,lower,2240,2414,153,250,"survey #94, 'Steel 26 Spring'"
G,0047,569,36pt,4,cap,462,1368,176,199,"survey #44, 'Green Pastures'"
r.36pt,,569,36pt,4,lower,637,1403,97,163,"survey #45, 'Green Pastures'"
e.36pt,,569,36pt,4,lower,736,1403,119,163,"survey #46, 'Green Pastures'"
e.36pt_2,,569,36pt,4,lower,858,1403,119,163,"survey #47, 'Green Pastures'"
n.36pt,,569,36pt,4,lower,975,1403,144,165,"survey #48, 'Green Pastures'"
P.36pt,,569,36pt,4,cap,1185,1367,181,231,"survey #49, 'Green Pastures'"
a,0061,569,36pt,4,lower,1365,1405,129,162,"survey #50, 'Green Pastures'"
s.36pt,,569,36pt,4,lower,1494,1405,114,163,"survey #51, 'Green Pastures'"
t.36pt,,569,36pt,4,lower,1605,1375,71,193,"survey #52, 'Green Pastures'"
u,0075,569,36pt,4,lower,1682,1402,132,163,"survey #53, 'Green Pastures'"
r.36pt_2,,569,36pt,4,lower,1813,1404,97,162,"survey #54, 'Green Pastures'"
e.36pt_3,,569,36pt,4,lower,1912,1404,119,162,"survey #55, 'Green Pastures'"
s.36pt_2,,569,36pt,4,lower,2033,1404,114,163,"survey #56, 'Green Pastures'"
D,0044,569,36pt,5,cap,207,1598,179,201,"survey #57, 'Delight[fu]l 38 Scenes'"
e.36pt_4,,569,36pt,5,lower,390,1635,118,164,"survey #58, 'Delight[fu]l 38 Scenes'"
l.36pt,,569,36pt,5,lower,515,1600,53,199,"survey #59, 'Delight[fu]l 38 Scenes'"
i.36pt,,569,36pt,5,lower,576,1598,54,201,"survey #60, 'Delight[fu]l 38 Scenes'"
g.36pt,,569,36pt,5,lower,638,1634,113,195,"survey #61, 'Delight[fu]l 38 Scenes'"
h,0068,569,36pt,5,lower,766,1599,114,202,"survey #62, 'Delight[fu]l 38 Scenes'"
t.36pt_2,,569,36pt,5,lower,879,1605,73,194,"survey #63, 'Delight[fu]l 38 Scenes'"
l.36pt_2,,569,36pt,5,lower,1182,1600,53,199,"survey #65, 'Delight[fu]l 38 Scenes'"
three,0033,569,36pt,5,figure,1299,1598,133,200,"survey #66, 'Delight[fu]l 38 Scenes'"
eight,0038,569,36pt,5,figure,1437,1600,131,200,"survey #67, 'Delight[fu]l 38 Scenes'"
S.36pt,,569,36pt,5,cap,1627,1600,159,199,"survey #68, 'Delight[fu]l 38 Scenes'"
c.36pt,,569,36pt,5,lower,1784,1636,119,161,"survey #69, 'Delight[fu]l 38 Scenes'"
e.36pt_5,,569,36pt,5,lower,1906,1635,119,163,"survey #70, 'Delight[fu]l 38 Scenes'"
n.36pt_2,,569,36pt,5,lower,2023,1635,143,165,"survey #71, 'Delight[fu]l 38 Scenes'"
e.36pt_6,,569,36pt,5,lower,2167,1635,119,163,"survey #72, 'Delight[fu]l 38 Scenes'"
s.36pt_3,,569,36pt,5,lower,2286,1636,115,163,"survey #73, 'Delight[fu]l 38 Scenes'"
S.30pt,,569,30pt,2,cap,514,719,133,172,"survey #11, 'Spanish Mansion'"
p.30pt,,569,30pt,2,lower,646,751,107,166,"survey #12, 'Spanish Mansion'"
a.30pt,,569,30pt,2,lower,758,729,104,165,"survey #13, 'Spanish Mansion'"
n.30pt,,569,30pt,2,lower,858,751,115,141,"survey #14, 'Spanish Mansion'"
i.30pt,,569,30pt,2,lower,971,718,44,171,"survey #15, 'Spanish Mansion'"
s.30pt,,569,30pt,2,lower,1019,751,93,141,"survey #16, 'Spanish Mansion'"
h.30pt,,569,30pt,2,lower,1118,719,92,172,"survey #17, 'Spanish Mansion'"
M,004D,569,30pt,2,cap,1281,718,252,174,"survey #18, 'Spanish Mansion'"
a.30pt_2,,569,30pt,2,lower,1535,752,103,142,"survey #19, 'Spanish Mansion'"
n.30pt_2,,569,30pt,2,lower,1635,751,115,141,"survey #20, 'Spanish Mansion'"
s.30pt_2,,569,30pt,2,lower,1747,751,93,141,"survey #21, 'Spanish Mansion'"
i.30pt_2,,569,30pt,2,lower,1837,718,44,171,"survey #22, 'Spanish Mansion'"
o.30pt,,569,30pt,2,lower,1887,750,95,142,"survey #23, 'Spanish Mansion'"
n.30pt_3,,569,30pt,2,lower,1980,751,115,141,"survey #24, 'Spanish Mansion'"
O,004F,569,30pt,3,cap,214,929,151,174,"survey #25, 'Old Worlds 594 Castles'"
l.30pt,,569,30pt,3,lower,379,932,46,171,"survey #26, 'Old Worlds 594 Castles'"
d,0064,569,30pt,3,lower,427,929,104,174,"survey #27, 'Old Worlds 594 Castles'"
W,0057,569,30pt,3,cap,603,928,233,173,"survey #28, 'Old Worlds 594 Castles'"
o.30pt_2,,569,30pt,3,lower,837,959,95,143,"survey #29, 'Old Worlds 594 Castles'"
r.30pt,,569,30pt,3,lower,937,957,77,141,"survey #30, 'Old Worlds 594 Castles'"
l.30pt_2,,569,30pt,3,lower,1029,931,47,170,"survey #31, 'Old Worlds 594 Castles'"
d.30pt,,569,30pt,3,lower,1078,928,104,174,"survey #32, 'Old Worlds 594 Castles'"
s.30pt_3,,569,30pt,3,lower,1179,961,93,140,"survey #33, 'Old Worlds 594 Castles'"
five,0035,569,30pt,3,figure,1349,930,102,171,"survey #34, 'Old Worlds 594 Castles'"
nine,0039,569,30pt,3,figure,1459,930,103,172,"survey #35, 'Old Worlds 594 Castles'"
four,0034,569,30pt,3,figure,1565,930,114,170,"survey #36, 'Old Worlds 594 Castles'"
C.30pt,,569,30pt,3,cap,1755,928,133,173,"survey #37, 'Old Worlds 594 Castles'"
a.30pt_3,,569,30pt,3,lower,1891,962,103,141,"survey #38, 'Old Worlds 594 Castles'"
s.30pt_4,,569,30pt,3,lower,1993,961,93,141,"survey #39, 'Old Worlds 594 Castles'"
t.30pt,,569,30pt,3,lower,2087,932,62,168,"survey #40, 'Old Worlds 594 Castles'"
l.30pt_3,,569,30pt,3,lower,2160,931,47,171,"survey #41, 'Old Worlds 594 Castles'"
e.30pt,,569,30pt,3,lower,2210,961,104,140,"survey #42, 'Old Worlds 594 Castles'"
s.30pt_5,,569,30pt,3,lower,2311,960,94,141,"survey #43, 'Old Worlds 594 Castles'"
