glyph,unicode,leaf,line,band,category,x,y,w,h,notes
L,004C,565,72pt,4,cap,434,1442,299,337,"survey #35, 'Lakeshore'"
a,0061,565,72pt,4,lower,736,1534,184,251,"survey #36, 'Lakeshore'"
k,006B,565,72pt,4,lower,927,1468,177,316,"survey #37, 'Lakeshore'"
e,0065,565,72pt,4,lower,1119,1537,154,249,"survey #38, 'Lakeshore'"
s,0073,565,72pt,4,lower,1283,1537,158,249,"survey #39, 'Lakeshore'"
h,0068,565,72pt,4,lower,1464,1470,183,320,"survey #40, 'Lakeshore'"
o,006F,565,72pt,4,lower,1663,1534,172,252,"survey #41, 'Lakeshore'"
r,0072,565,72pt,4,lower,1848,1536,136,247,"survey #42, 'Lakeshore'"
e.72pt,,565,72pt,4,lower,1997,1539,153,249,"survey #43, 'Lakeshore'"
S,0053,565,72pt,5,cap,218,1821,245,328,"survey #44, 'Shade 8 Tree'"
h.72pt,,565,72pt,5,lower,479,1833,183,321,"survey #45, 'Shade 8 Tree'"
a.72pt,,565,72pt,5,lower,680,1899,184,251,"survey #46, 'Shade 8 Tree'"
d,0064,565,72pt,5,lower,874,1828,156,323,"survey #47, 'Shade 8 Tree'"
e.72pt_2,,565,72pt,5,lower,1047,1903,153,249,"survey #48, 'Shade 8 Tree'"
eight,0038,565,72pt,5,figure,1319,1826,183,326,"survey #49, 'Shade 8 Tree'"
T,0054,565,72pt,5,cap,1633,1822,290,330,"survey #50, 'Shade 8 Tree'"
r.72pt,,565,72pt,5,lower,1924,1901,137,247,"survey #51, 'Shade 8 Tree'"
e.72pt_3,,565,72pt,5,lower,2073,1905,153,248,"survey #52, 'Shade 8 Tree'"
e.72pt_4,,565,72pt,5,lower,2234,1905,153,248,"survey #53, 'Shade 8 Tree'"
C,0043,565,60pt,2,cap,497,713,180,247,"survey #11, 'Cattle Ranch'"
a.60pt,,565,60pt,2,lower,683,773,126,185,"survey #12, 'Cattle Ranch'"
t,0074,565,60pt,2,lower,820,727,87,232,"survey #13, 'Cattle Ranch'"
t.60pt,,565,60pt,2,lower,914,727,87,232,"survey #14, 'Cattle Ranch'"
l,006C,565,60pt,2,lower,1010,723,73,236,"survey #15, 'Cattle Ranch'"
e.60pt,,565,60pt,2,lower,1087,773,114,187,"survey #16, 'Cattle Ranch'"
R,0052,565,60pt,2,cap,1331,715,232,245,"survey #17, 'Cattle Ranch'"
a.60pt_2,,565,60pt,2,lower,1573,776,125,184,"survey #18, 'Cattle Ranch'"
n,006E,565,60pt,2,lower,1711,776,143,185,"survey #19, 'Cattle Ranch'"
c,0063,565,60pt,2,lower,1866,774,110,188,"survey #20, 'Cattle Ranch'"
h.60pt,,565,60pt,2,lower,1987,725,134,239,"survey #21, 'Cattle Ranch'"
C.60pt,,565,60pt,3,cap,206,1009,178,248,"survey #22, 'Cows and 4 Sheep'"
o.60pt,,565,60pt,3,lower,390,1068,124,190,"survey #23, 'Cows and 4 Sheep'"
w,0077,565,60pt,3,lower,521,1071,191,184,"survey #24, 'Cows and 4 Sheep'"
s.60pt,,565,60pt,3,lower,719,1068,117,189,"survey #25, 'Cows and 4 Sheep'"
a.60pt_3,,565,60pt,3,lower,923,1072,126,184,"survey #26, 'Cows and 4 Sheep'"
n.60pt,,565,60pt,3,lower,1062,1072,143,185,"survey #27, 'Cows and 4 Sheep'"
d.60pt,,565,60pt,3,lower,1217,1022,114,236,"survey #28, 'Cows and 4 Sheep'"
four,0034,565,60pt,3,figure,1414,1014,155,245,"survey #29, 'Cows and 4 Sheep'"
S.60pt,,565,60pt,3,cap,1659,1012,179,248,"survey #30, 'Cows and 4 Sheep'"
h.60pt_2,,565,60pt,3,lower,1850,1023,133,239,"survey #31, 'Cows and 4 Sheep'"
e.60pt_2,,565,60pt,3,lower,1992,1074,114,188,"survey #32, 'Cows and 4 Sheep'"
e.60pt_3,,565,60pt,3,lower,2114,1074,114,188,"survey #33, 'Cows and 4 Sheep'"
p,0070,565,60pt,3,lower,2237,1076,149,233,"survey #34, 'Cows and 4 Sheep'"
T.48pt,,564,48pt,6,cap,359,3090,175,216,"survey #90, 'Terrible Calamity'"
e.48pt,,564,48pt,6,lower,539,3132,100,175,"survey #91, 'Terrible Calamity'"
r.48pt,,564,48pt,6,lower,650,3134,98,174,"survey #92, 'Terrible Calamity'"
r.48pt_2,,564,48pt,6,lower,757,3134,97,175,"survey #93, 'Terrible Calamity'"
i,0069,564,48pt,6,lower,863,3096,65,213,"survey #94, 'Terrible Calamity'"
b,0062,564,48pt,6,lower,936,3098,117,210,"survey #95, 'Terrible Calamity'"
l.48pt,,564,48pt,6,lower,1067,3100,64,209,"survey #96, 'Terrible Calamity'"
e.48pt_2,,564,48pt,6,lower,1136,3134,101,175,"survey #97, 'Terrible Calamity'"
C.48pt,,564,48pt,6,cap,1321,3091,149,216,"survey #98, 'Terrible Calamity'"
a.48pt,,564,48pt,6,lower,1477,3134,109,174,"survey #99, 'Terrible Calamity'"
l.48pt_2,,564,48pt,6,lower,1603,3099,64,209,"survey #100, 'Terrible Calamity'"
a.48pt_2,,564,48pt,6,lower,1673,3133,110,174,"survey #101, 'Terrible Calamity'"
m,006D,564,48pt,6,lower,1800,3133,187,173,"survey #102, 'Terrible Calamity'"
i.48pt,,564,48pt,6,lower,2001,3094,65,213,"survey #103, 'Terrible Calamity'"
t.48pt,,564,48pt,6,lower,2073,3104,77,203,"survey #104, 'Terrible Calamity'"
y,0079,564,48pt,6,lower,2152,3131,113,211,"survey #105, 'Terrible Calamity'"
S.48pt,,564,48pt,7,cap,209,3356,154,215,"survey #106, 'Southern 2 Country'"
o.48pt,,564,48pt,7,lower,371,3397,110,176,"survey #107, 'Southern 2 Country'"
u,0075,564,48pt,7,lower,492,3399,124,173,"survey #108, 'Southern 2 Country'"
t.48pt_2,,564,48pt,7,lower,628,3373,77,201,"survey #109, 'Southern 2 Country'"
h.48pt,,564,48pt,7,lower,711,3360,125,215,"survey #110, 'Southern 2 Country'"
e.48pt_3,,564,48pt,7,lower,845,3400,99,174,"survey #111, 'Southern 2 Country'"
r.48pt_3,,564,48pt,7,lower,955,3401,98,174,"survey #112, 'Southern 2 Country'"
n.48pt,,564,48pt,7,lower,1058,3398,132,176,"survey #113, 'Southern 2 Country'"
two,0032,564,48pt,7,figure,1311,3361,126,214,"survey #114, 'Southern 2 Country'"
C.48pt_2,,564,48pt,7,cap,1560,3357,150,216,"survey #115, 'Southern 2 Country'"
o.48pt_2,,564,48pt,7,lower,1715,3398,110,177,"survey #116, 'Southern 2 Country'"
u.48pt,,564,48pt,7,lower,1836,3399,124,173,"survey #117, 'Southern 2 Country'"
n.48pt_2,,564,48pt,7,lower,1970,3396,132,176,"survey #118, 'Southern 2 Country'"
t.48pt_3,,564,48pt,7,lower,2113,3371,77,202,"survey #119, 'Southern 2 Country'"
r.48pt_4,,564,48pt,7,lower,2199,3397,98,174,"survey #120, 'Southern 2 Country'"
y.48pt,,564,48pt,7,lower,2297,3396,114,211,"survey #121, 'Southern 2 Country'"
L.36pt,,564,36pt,4,cap,449,2446,155,181,"survey #56, 'Large Cigar Facto[ry]'"
a.36pt,,564,36pt,4,lower,609,2485,89,142,"survey #57, 'Large Cigar Facto[ry]'"
r.36pt,,564,36pt,4,lower,703,2485,77,144,"survey #58, 'Large Cigar Facto[ry]'"
g,0067,564,36pt,4,lower,782,2485,85,177,"survey #59, 'Large Cigar Facto[ry]'"
e.36pt,,564,36pt,4,lower,874,2486,81,143,"survey #60, 'Large Cigar Facto[ry]'"
C.36pt,,564,36pt,4,cap,1029,2449,121,179,"survey #61, 'Large Cigar Facto[ry]'"
i.36pt,,564,36pt,4,lower,1156,2448,48,181,"survey #62, 'Large Cigar Facto[ry]'"
g.36pt,,564,36pt,4,lower,1208,2486,85,177,"survey #63, 'Large Cigar Facto[ry]'"
a.36pt_2,,564,36pt,4,lower,1302,2486,89,142,"survey #64, 'Large Cigar Facto[ry]'"
r.36pt_2,,564,36pt,4,lower,1395,2485,77,145,"survey #65, 'Large Cigar Facto[ry]'"
F,0046,564,36pt,4,cap,1537,2447,222,206,"survey #66, 'Large Cigar Facto[ry]'"
a.36pt_3,,564,36pt,4,lower,1762,2486,81,142,"survey #67, 'Large Cigar Facto[ry]'"
c.36pt,,564,36pt,4,lower,1848,2454,60,174,"survey #68, 'Large Cigar Facto[ry]'"
t.36pt,,564,36pt,4,lower,1913,2484,86,143,"survey #69, 'Large Cigar Facto[ry]'"
o.36pt,,564,36pt,4,lower,2007,2484,77,144,"survey #70, 'Large Cigar Facto[ry]'"
n.36pt,,564,36pt,5,lower,396,2719,103,143,"survey #73, '[Fi]ne Hand 3 Made Cigars'"
e.36pt_2,,564,36pt,5,lower,505,2719,81,143,"survey #74, '[Fi]ne Hand 3 Made Cigars'"
H,0048,564,36pt,5,cap,644,2679,178,184,"survey #75, '[Fi]ne Hand 3 Made Cigars'"
a.36pt_4,,564,36pt,5,lower,828,2720,89,141,"survey #76, '[Fi]ne Hand 3 Made Cigars'"
n.36pt_2,,564,36pt,5,lower,920,2720,102,143,"survey #77, '[Fi]ne Hand 3 Made Cigars'"
d.36pt,,564,36pt,5,lower,1029,2685,87,177,"survey #78, '[Fi]ne Hand 3 Made Cigars'"
three,0033,564,36pt,5,figure,1176,2681,106,182,"survey #79, '[Fi]ne Hand 3 Made Cigars'"
M,004D,564,36pt,5,cap,1344,2682,215,180,"survey #80, '[Fi]ne Hand 3 Made Cigars'"
a.36pt_5,,564,36pt,5,lower,1565,2720,89,141,"survey #81, '[Fi]ne Hand 3 Made Cigars'"
d.36pt_2,,564,36pt,5,lower,1657,2684,86,178,"survey #82, '[Fi]ne Hand 3 Made Cigars'"
e.36pt_3,,564,36pt,5,lower,1750,2720,80,142,"survey #83, '[Fi]ne Hand 3 Made Cigars'"
C.36pt_2,,564,36pt,5,cap,1895,2682,121,179,"survey #84, '[Fi]ne Hand 3 Made Cigars'"
i.36pt_2,,564,36pt,5,lower,2021,2680,48,181,"survey #85, '[Fi]ne Hand 3 Made Cigars'"
g.36pt_2,,564,36pt,5,lower,2072,2718,86,176,"survey #86, '[Fi]ne Hand 3 Made Cigars'"
a.36pt_6,,564,36pt,5,lower,2165,2717,90,142,"survey #87, '[Fi]ne Hand 3 Made Cigars'"
r.36pt_3,,564,36pt,5,lower,2258,2716,77,144,"survey #88, '[Fi]ne Hand 3 Made Cigars'"
s.36pt,,564,36pt,5,lower,2334,2717,82,142,"survey #89, '[Fi]ne Hand 3 Made Cigars'"
P,0050,564,30pt,2,cap,394,1910,128,177,"survey #11, 'Private Camping Grounds'"
r.30pt,,564,30pt,2,lower,524,1939,69,127,"survey #12, 'Private Camping Grounds'"
i.30pt,,564,30pt,2,lower,593,1909,45,157,"survey #13, 'Private Camping Grounds'"
v,0076,564,30pt,2,lower,635,1941,75,124,"survey #14, 'Private Camping Grounds'"
a.30pt,,564,30pt,2,lower,714,1938,76,129,"survey #15, 'Private Camping Grounds'"
t.30pt,,564,30pt,2,lower,791,1919,54,147,"survey #16, 'Private Camping Grounds'"
e.30pt,,564,30pt,2,lower,845,1939,67,127,"survey #17, 'Private Camping Grounds'"
C.30pt,,564,30pt,2,cap,980,1909,111,163,"survey #18, 'Private Camping Grounds'"
a.30pt_2,,564,30pt,2,lower,1092,1941,76,127,"survey #19, 'Private Camping Grounds'"
m.30pt,,564,30pt,2,lower,1169,1941,128,126,"survey #20, 'Private Camping Grounds'"
p.30pt,,564,30pt,2,lower,1299,1940,89,158,"survey #21, 'Private Camping Grounds'"
i.30pt_2,,564,30pt,2,lower,1391,1912,44,156,"survey #22, 'Private Camping Grounds'"
n.30pt,,564,30pt,2,lower,1434,1940,87,129,"survey #23, 'Private Camping Grounds'"
g.30pt,,564,30pt,2,lower,1521,1941,77,154,"survey #24, 'Private Camping Grounds'"
G,0047,564,30pt,2,cap,1665,1910,115,160,"survey #25, 'Private Camping Grounds'"
r.30pt_2,,564,30pt,2,lower,1781,1940,69,126,"survey #26, 'Private Camping Grounds'"
o.30pt,,564,30pt,2,lower,1849,1938,75,130,"survey #27, 'Private Camping Grounds'"
u.30pt,,564,30pt,2,lower,1926,1941,84,125,"survey #28, 'Private Camping Grounds'"
n.30pt_2,,564,30pt,2,lower,2010,1938,87,129,"survey #29, 'Private Camping Grounds'"
d.30pt,,564,30pt,2,lower,2099,1910,71,156,"survey #30, 'Private Camping Grounds'"
s.30pt,,564,30pt,2,lower,2170,1938,71,128,"survey #31, 'Private Camping Grounds'"
