glyph,unicode,leaf,line,band,category,x,y,w,h,notes
D,0044,872,72pt,6,cap,251,3101,293,370,"survey #65, 'Daily News'"
a,0061,872,72pt,6,lower,551,3208,218,268,"survey #66, 'Daily News'"
i,0069,872,72pt,6,lower,771,3125,146,350,"survey #67, 'Daily News'"
l,006C,872,72pt,6,lower,921,3113,146,366,"survey #68, 'Daily News'"
y,0079,872,72pt,6,lower,1078,3204,214,332,"survey #69, 'Daily News'"
N,004E,872,72pt,6,cap,1445,3107,323,382,"survey #70, 'Daily News'"
e,0065,872,72pt,6,lower,1775,3198,166,269,"survey #71, 'Daily News'"
w,0077,872,72pt,6,lower,1944,3154,308,323,"survey #72, 'Daily News'"
s,0073,872,72pt,6,lower,2267,3193,185,284,"survey #73, 'Daily News'"
T,0054,872,66pt,5,cap,251,2483,258,351,"survey #55, 'Toledo Bla[de]'"
o,006F,872,66pt,5,lower,513,2584,189,252,"survey #56, 'Toledo Bla[de]'"
l.66pt,,872,66pt,5,lower,702,2504,89,334,"survey #57, 'Toledo Bla[de]'"
e.66pt,,872,66pt,5,lower,801,2580,168,257,"survey #58, 'Toledo Bla[de]'"
d,0064,872,66pt,5,lower,968,2483,186,358,"survey #59, 'Toledo Bla[de]'"
o.66pt,,872,66pt,5,lower,1154,2578,186,253,"survey #60, 'Toledo Bla[de]'"
B,0042,872,66pt,5,cap,1569,2485,258,357,"survey #61, 'Toledo Bla[de]'"
l.66pt_2,,872,66pt,5,lower,1837,2509,96,333,"survey #62, 'Toledo Bla[de]'"
a.66pt,,872,66pt,5,lower,1943,2583,175,257,"survey #63, 'Toledo Bla[de]'"
T.60pt,,872,60pt,3,cap,262,1284,293,333,"survey #34, 'The Sentinel'"
h,0068,872,60pt,3,lower,561,1299,186,323,"survey #35, 'The Sentinel'"
e.60pt,,872,60pt,3,lower,764,1368,155,250,"survey #36, 'The Sentinel'"
S,0053,872,60pt,3,cap,1120,1290,249,330,"survey #37, 'The Sentinel'"
e.60pt_2,,872,60pt,3,lower,1381,1370,155,251,"survey #38, 'The Sentinel'"
n,006E,872,60pt,3,lower,1550,1371,186,251,"survey #39, 'The Sentinel'"
t,0074,872,60pt,3,lower,1756,1306,116,315,"survey #40, 'The Sentinel'"
i.60pt,,872,60pt,3,lower,1888,1303,89,313,"survey #41, 'The Sentinel'"
n.60pt,,872,60pt,3,lower,1998,1373,186,250,"survey #42, 'The Sentinel'"
e.60pt_3,,872,60pt,3,lower,2200,1374,154,250,"survey #43, 'The Sentinel'"
l.60pt,,872,60pt,3,lower,2375,1304,87,314,"survey #44, 'The Sentinel'"
R,0052,872,54pt,4,cap,257,1893,336,298,"survey #45, 'Racine Post'"
a.54pt,,872,54pt,4,lower,602,1953,200,238,"survey #46, 'Racine Post'"
c,0063,872,54pt,4,lower,816,1952,194,237,"survey #47, 'Racine Post'"
i.54pt,,872,54pt,4,lower,1015,1894,84,295,"survey #48, 'Racine Post'"
n.54pt,,872,54pt,4,lower,1117,1952,213,244,"survey #49, 'Racine Post'"
e.54pt,,872,54pt,4,lower,1339,1956,193,235,"survey #50, 'Racine Post'"
P,0050,872,54pt,4,cap,1693,1899,290,355,"survey #51, 'Racine Post'"
o.54pt,,872,54pt,4,lower,1989,1955,183,239,"survey #52, 'Racine Post'"
s.54pt,,872,54pt,4,lower,2178,1955,181,240,"survey #53, 'Racine Post'"
t.54pt,,872,54pt,4,lower,2358,1906,111,289,"survey #54, 'Racine Post'"
