glyph,unicode,leaf,line,band,category,x,y,w,h,notes
S,0053,419,72pt,8,cap,345,2780,192,370,"survey #97, 'SHOE SALE'"
H,0048,419,72pt,8,cap,555,2788,193,354,"survey #98, 'SHOE SALE'"
O,004F,419,72pt,8,cap,767,2781,195,368,"survey #99, 'SHOE SALE'"
E,0045,419,72pt,8,cap,981,2787,171,354,"survey #100, 'SHOE SALE'"
S.72pt,,419,72pt,8,cap,1288,2781,193,369,"survey #101, 'SHOE SALE'"
A,0041,419,72pt,8,cap,1489,2787,196,354,"survey #102, 'SHOE SALE'"
L,004C,419,72pt,8,cap,1704,2788,172,353,"survey #103, 'SHOE SALE'"
E.72pt,,419,72pt,8,cap,1891,2786,171,354,"survey #104, 'SHOE SALE'"
O.72pt,,419,72pt,9,cap,118,3173,191,367,"survey #105, 'Open 8 Nights'"
p,0070,419,72pt,9,lower,328,3254,160,346,"survey #106, 'Open 8 Nights'"
e,0065,419,72pt,9,lower,499,3254,157,291,"survey #107, 'Open 8 Nights'"
n,006E,419,72pt,9,lower,672,3259,160,278,"survey #108, 'Open 8 Nights'"
eight,0038,419,72pt,9,figure,993,3203,212,337,"survey #109, 'Open 8 Nights'"
N,004E,419,72pt,9,cap,1359,3184,169,352,"survey #110, 'Open 8 Nights'"
i,0069,419,72pt,9,lower,1555,3184,62,351,"survey #111, 'Open 8 Nights'"
g,0067,419,72pt,9,lower,1627,3208,185,391,"survey #112, 'Open 8 Nights'"
h,0068,419,72pt,9,lower,1823,3178,158,358,"survey #113, 'Open 8 Nights'"
t,0074,419,72pt,9,lower,1997,3182,141,360,"survey #114, 'Open 8 Nights'"
s,0073,419,72pt,9,lower,2141,3258,155,282,"survey #115, 'Open 8 Nights'"
B,0042,419,60pt,6,cap,428,1961,164,295,"survey #75, 'BOATSWAIN'"
O.60pt,,419,60pt,6,cap,602,1956,168,309,"survey #76, 'BOATSWAIN'"
A.60pt,,419,60pt,6,cap,778,1961,170,297,"survey #77, 'BOATSWAIN'"
T,0054,419,60pt,6,cap,957,1959,160,297,"survey #78, 'BOATSWAIN'"
S.60pt,,419,60pt,6,cap,1123,1956,166,309,"survey #79, 'BOATSWAIN'"
W,0057,419,60pt,6,cap,1297,1959,277,301,"survey #80, 'BOATSWAIN'"
A.60pt_2,,419,60pt,6,cap,1579,1961,169,296,"survey #81, 'BOATSWAIN'"
I,0049,419,60pt,6,cap,1761,1961,60,295,"survey #82, 'BOATSWAIN'"
N.60pt,,419,60pt,6,cap,1841,1961,146,296,"survey #83, 'BOATSWAIN'"
C,0043,419,60pt,7,cap,120,2287,161,307,"survey #84, 'Climbing 2 Mast'"
l,006C,419,60pt,7,lower,294,2287,55,300,"survey #85, 'Climbing 2 Mast'"
i.60pt,,419,60pt,7,lower,368,2292,55,295,"survey #86, 'Climbing 2 Mast'"
m,006D,419,60pt,7,lower,442,2351,224,239,"survey #87, 'Climbing 2 Mast'"
b,0062,419,60pt,7,lower,683,2290,140,302,"survey #88, 'Climbing 2 Mast'"
i.60pt_2,,419,60pt,7,lower,837,2293,55,296,"survey #89, 'Climbing 2 Mast'"
n.60pt,,419,60pt,7,lower,911,2354,139,235,"survey #90, 'Climbing 2 Mast'"
g.60pt,,419,60pt,7,lower,1058,2311,162,327,"survey #91, 'Climbing 2 Mast'"
two,0032,419,60pt,7,figure,1343,2288,168,301,"survey #92, 'Climbing 2 Mast'"
M,004D,419,60pt,7,cap,1648,2290,226,299,"survey #93, 'Climbing 2 Mast'"
a,0061,419,60pt,7,lower,1888,2351,138,240,"survey #94, 'Climbing 2 Mast'"
s.60pt,,419,60pt,7,lower,2038,2354,134,237,"survey #95, 'Climbing 2 Mast'"
t.60pt,,419,60pt,7,lower,2181,2290,121,301,"survey #96, 'Climbing 2 Mast'"
B.48pt,,419,48pt,4,cap,305,1260,134,245,"survey #48, 'BLACK DIAMOND'"
L.48pt,,419,48pt,4,cap,451,1261,122,244,"survey #49, 'BLACK DIAMOND'"
A.48pt,,419,48pt,4,cap,581,1260,137,245,"survey #50, 'BLACK DIAMOND'"
C.48pt,,419,48pt,4,cap,727,1256,135,254,"survey #51, 'BLACK DIAMOND'"
K,004B,419,48pt,4,cap,874,1261,151,245,"survey #52, 'BLACK DIAMOND'"
D,0044,419,48pt,4,cap,1123,1262,138,244,"survey #53, 'BLACK DIAMOND'"
I.48pt,,419,48pt,4,cap,1273,1262,50,244,"survey #54, 'BLACK DIAMOND'"
A.48pt_2,,419,48pt,4,cap,1339,1262,137,244,"survey #55, 'BLACK DIAMOND'"
M.48pt,,419,48pt,4,cap,1490,1261,181,245,"survey #56, 'BLACK DIAMOND'"
O.48pt,,419,48pt,4,cap,1687,1258,145,254,"survey #57, 'BLACK DIAMOND'"
N.48pt,,419,48pt,4,cap,1846,1262,120,245,"survey #58, 'BLACK DIAMOND'"
D.48pt,,419,48pt,4,cap,1983,1262,137,245,"survey #59, 'BLACK DIAMOND'"
E.48pt,,419,48pt,5,cap,124,1525,119,245,"survey #60, 'Express 3 Company'"
x,0078,419,48pt,5,lower,247,1576,127,194,"survey #61, 'Express 3 Company'"
p.48pt,,419,48pt,5,lower,385,1572,116,240,"survey #62, 'Express 3 Company'"
r,0072,419,48pt,5,lower,516,1573,97,197,"survey #63, 'Express 3 Company'"
e.48pt,,419,48pt,5,lower,615,1573,112,203,"survey #64, 'Express 3 Company'"
s.48pt,,419,48pt,5,lower,730,1575,113,199,"survey #65, 'Express 3 Company'"
s.48pt_2,,419,48pt,5,lower,847,1575,113,199,"survey #66, 'Express 3 Company'"
three,0033,419,48pt,5,figure,1077,1523,135,253,"survey #67, 'Express 3 Company'"
C.48pt_2,,419,48pt,5,cap,1330,1523,134,253,"survey #68, 'Express 3 Company'"
o,006F,419,48pt,5,lower,1471,1574,115,201,"survey #69, 'Express 3 Company'"
m.48pt,,419,48pt,5,lower,1599,1575,185,196,"survey #70, 'Express 3 Company'"
p.48pt_2,,419,48pt,5,lower,1802,1574,116,239,"survey #71, 'Express 3 Company'"
a.48pt,,419,48pt,5,lower,1925,1574,116,200,"survey #72, 'Express 3 Company'"
n.48pt,,419,48pt,5,lower,2057,1575,116,196,"survey #73, 'Express 3 Company'"
y,0079,419,48pt,5,lower,2186,1578,115,235,"survey #74, 'Express 3 Company'"
S.36pt,,419,36pt,2,cap,310,686,107,203,"survey #12, 'STRANDED STEAMER'"
T.36pt,,419,36pt,2,cap,415,690,104,195,"survey #13, 'STRANDED STEAMER'"
R,0052,419,36pt,2,cap,529,691,111,195,"survey #14, 'STRANDED STEAMER'"
A.36pt,,419,36pt,2,cap,646,691,108,195,"survey #15, 'STRANDED STEAMER'"
N.36pt,,419,36pt,2,cap,767,691,95,195,"survey #16, 'STRANDED STEAMER'"
D.36pt,,419,36pt,2,cap,882,691,110,195,"survey #17, 'STRANDED STEAMER'"
E.36pt,,419,36pt,2,cap,1006,692,96,194,"survey #18, 'STRANDED STEAMER'"
D.36pt_2,,419,36pt,2,cap,1112,692,110,195,"survey #19, 'STRANDED STEAMER'"
S.36pt_2,,419,36pt,2,cap,1290,688,108,204,"survey #20, 'STRANDED STEAMER'"
T.36pt_2,,419,36pt,2,cap,1394,692,104,195,"survey #21, 'STRANDED STEAMER'"
E.36pt_2,,419,36pt,2,cap,1508,693,97,194,"survey #22, 'STRANDED STEAMER'"
A.36pt_2,,419,36pt,2,cap,1608,693,109,195,"survey #23, 'STRANDED STEAMER'"
M.36pt,,419,36pt,2,cap,1729,693,143,195,"survey #24, 'STRANDED STEAMER'"
E.36pt_3,,419,36pt,2,cap,1892,693,97,195,"survey #25, 'STRANDED STEAMER'"
R.36pt,,419,36pt,2,cap,1998,694,111,194,"survey #26, 'STRANDED STEAMER'"
B.36pt,,419,36pt,3,cap,126,901,107,195,"survey #27, 'Building 57 Eighty Ships'"
u,0075,419,36pt,3,lower,243,937,96,160,"survey #28, 'Building 57 Eighty Ships'"
i.36pt,,419,36pt,3,lower,352,899,41,196,"survey #29, 'Building 57 Eighty Ships'"
l.36pt,,419,36pt,3,lower,404,897,40,198,"survey #30, 'Building 57 Eighty Ships'"
d,0064,419,36pt,3,lower,449,897,96,199,"survey #31, 'Building 57 Eighty Ships'"
i.36pt_2,,419,36pt,3,lower,559,899,40,196,"survey #32, 'Building 57 Eighty Ships'"
n.36pt,,419,36pt,3,lower,612,937,96,159,"survey #33, 'Building 57 Eighty Ships'"
g.36pt,,419,36pt,3,lower,714,913,111,214,"survey #34, 'Building 57 Eighty Ships'"
five,0035,419,36pt,3,figure,914,897,105,203,"survey #35, 'Building 57 Eighty Ships'"
seven,0037,419,36pt,3,figure,1023,901,107,195,"survey #36, 'Building 57 Eighty Ships'"
E.36pt_4,,419,36pt,3,cap,1223,902,97,194,"survey #37, 'Building 57 Eighty Ships'"
i.36pt_3,,419,36pt,3,lower,1326,901,41,196,"survey #38, 'Building 57 Eighty Ships'"
g.36pt_2,,419,36pt,3,lower,1370,913,109,214,"survey #39, 'Building 57 Eighty Ships'"
h.36pt,,419,36pt,3,lower,1485,899,95,197,"survey #40, 'Building 57 Eighty Ships'"
t.36pt,,419,36pt,3,lower,1586,901,86,198,"survey #41, 'Building 57 Eighty Ships'"
y.36pt,,419,36pt,3,lower,1672,939,94,189,"survey #42, 'Building 57 Eighty Ships'"
S.36pt_3,,419,36pt,3,cap,1844,898,107,203,"survey #43, 'Building 57 Eighty Ships'"
h.36pt_2,,419,36pt,3,lower,1956,899,96,198,"survey #44, 'Building 57 Eighty Ships'"
i.36pt_4,,419,36pt,3,lower,2066,902,41,196,"survey #45, 'Building 57 Eighty Ships'"
p.36pt,,419,36pt,3,lower,2118,937,97,193,"survey #46, 'Building 57 Eighty Ships'"
s.36pt,,419,36pt,3,lower,2216,942,93,161,"survey #47, 'Building 57 Eighty Ships'"
R.30pt,,418,30pt,4,cap,496,3244,95,170,"survey #42, 'REAL ESTATE BARGAIN'"
E.30pt,,418,30pt,4,cap,601,3242,84,170,"survey #43, 'REAL ESTATE BARGAIN'"
