glyph,unicode,leaf,line,band,category,x,y,w,h,notes
B,0042,141,72pt,4,cap,292,1623,284,350,"survey #35, 'BUSTER'"
U,0055,141,72pt,4,cap,597,1623,279,351,"survey #36, 'BUSTER'"
S,0053,141,72pt,4,cap,896,1620,258,353,"survey #37, 'BUSTER'"
T,0054,141,72pt,4,cap,1171,1615,300,358,"survey #38, 'BUSTER'"
E,0045,141,72pt,4,cap,1493,1610,297,376,"survey #39, 'BUSTER'"
R,0052,141,72pt,4,cap,1813,1624,302,348,"survey #40, 'BUSTER'"
R.72pt,,141,72pt,5,cap,124,2044,296,348,"survey #41, 'Red 3 Book'"
e,0065,141,72pt,5,lower,436,2141,178,255,"survey #42, 'Red 3 Book'"
d,0064,141,72pt,5,lower,631,2040,197,356,"survey #43, 'Red 3 Book'"
three,0033,141,72pt,5,figure,987,2040,233,355,"survey #44, 'Red 3 Book'"
B.72pt,,141,72pt,5,cap,1388,2044,285,349,"survey #45, 'Red 3 Book'"
o,006F,141,72pt,5,lower,1691,2142,176,253,"survey #46, 'Red 3 Book'"
o.72pt,,141,72pt,5,lower,1883,2142,176,253,"survey #47, 'Red 3 Book'"
k,006B,141,72pt,5,lower,2079,2041,210,353,"survey #48, 'Red 3 Book'"
C,0043,141,60pt,2,cap,381,704,245,306,"survey #18, 'CHECKS'"
H,0048,141,60pt,2,cap,645,707,284,302,"survey #19, 'CHECKS'"
E.60pt,,141,60pt,2,cap,949,694,270,331,"survey #20, 'CHECKS'"
C.60pt,,141,60pt,2,cap,1235,705,244,305,"survey #21, 'CHECKS'"
K,004B,141,60pt,2,cap,1501,708,274,301,"survey #22, 'CHECKS'"
S.60pt,,141,60pt,2,cap,1787,705,230,307,"survey #23, 'CHECKS'"
E.60pt_2,,141,60pt,3,cap,116,1047,264,333,"survey #24, 'Easy 5 Corner'"
a,0061,141,60pt,3,lower,394,1138,168,226,"survey #25, 'Easy 5 Corner'"
s,0073,141,60pt,3,lower,569,1133,144,229,"survey #26, 'Easy 5 Corner'"
y,0079,141,60pt,3,lower,725,1142,184,278,"survey #27, 'Easy 5 Corner'"
five,0035,141,60pt,3,figure,986,1053,210,314,"survey #28, 'Easy 5 Corner'"
C.60pt_2,,141,60pt,3,cap,1270,1058,245,306,"survey #29, 'Easy 5 Corner'"
o.60pt,,141,60pt,3,lower,1531,1137,154,227,"survey #30, 'Easy 5 Corner'"
r,0072,141,60pt,3,lower,1699,1142,117,220,"survey #31, 'Easy 5 Corner'"
n,006E,141,60pt,3,lower,1825,1140,175,223,"survey #32, 'Easy 5 Corner'"
e.60pt,,141,60pt,3,lower,2017,1139,148,226,"survey #33, 'Easy 5 Corner'"
r.60pt,,141,60pt,3,lower,2178,1142,117,221,"survey #34, 'Easy 5 Corner'"
