glyph,unicode,leaf,line,category,x,y,w,h,notes
D,0044,892,twelve,cap,239,2613,818,841,"survey #39, 'DIE'"
I,0049,892,twelve,cap,1112,2612,469,842,"survey #40, 'DIE'"
Ereversed,018E,892,twelve,cap,1647,2610,789,843,"survey #41, 'DIƎ' — the block printed reversed"
R,0052,892,six,cap,237,2005,462,442,"survey #34, 'ROGUE'"
O,004F,892,six,cap,718,2006,375,440,"survey #35, 'ROGUE'"
G,0047,892,six,cap,1123,2005,418,442,"survey #36, 'ROGUE'"
U,0055,892,six,cap,1561,2005,444,442,"survey #37, 'ROGUE'"
E,0045,892,six,cap,2033,2005,409,443,"survey #38, 'ROGUE'"
B,0042,892,five,cap,236,1464,350,375,"survey #28, 'BINDER'"
I.five,,892,five,cap,623,1463,199,376,"survey #29, 'BINDER'"
N,004E,892,five,cap,859,1463,391,376,"survey #30, 'BINDER'"
D.five,,892,five,cap,1285,1465,350,374,"survey #31, 'BINDER'"
E.five,,892,five,cap,1673,1463,345,376,"survey #32, 'BINDER'"
R.five,,892,five,cap,2052,1465,388,376,"survey #33, 'BINDER'"
N.four,,892,four,cap,232,980,313,311,"survey #21, 'NORTH 29'"
O.four,,892,four,cap,555,982,258,307,"survey #22, 'NORTH 29'"
R.four,,892,four,cap,822,981,313,309,"survey #23, 'NORTH 29'"
T,0054,892,four,cap,1140,982,293,308,"survey #24, 'NORTH 29'"
H,0048,892,four,cap,1445,981,311,310,"survey #25, 'NORTH 29'"
two,0032,892,four,figure,1944,982,244,308,"survey #26, 'NORTH 29'"
nine,0039,892,four,figure,2196,982,245,309,"survey #27, 'NORTH 29'"
R.three,,892,three,cap,232,567,241,240,"survey #10, 'Rose Garden 6'"
o,006F,892,three,lower,468,621,153,185,"survey #11, 'Rose Garden 6'"
s,0073,892,three,lower,626,620,151,188,"survey #12, 'Rose Garden 6'"
e,0065,892,three,lower,791,623,155,183,"survey #13, 'Rose Garden 6'"
G.three,,892,three,cap,1045,565,217,243,"survey #14, 'Rose Garden 6'"
a,0061,892,three,lower,1269,619,187,188,"survey #15, 'Rose Garden 6'"
r,0072,892,three,lower,1461,619,156,189,"survey #16, 'Rose Garden 6'"
d,0064,892,three,lower,1625,566,173,242,"survey #17, 'Rose Garden 6'"
e.three,,892,three,lower,1800,622,155,184,"survey #18, 'Rose Garden 6'"
n,006E,892,three,lower,1962,620,196,188,"survey #19, 'Rose Garden 6'"
six,0036,892,three,figure,2251,568,183,239,"survey #20, 'Rose Garden 6'"
