glyph,unicode,leaf,line,category,x,y,w,h,notes
H,0048,893,ten,cap,153,2727,615,704,"survey #39, 'HIRE'"
I,0049,893,ten,cap,823,2732,308,700,"survey #40, 'HIRE'"
R,0052,893,ten,cap,1176,2734,605,700,"survey #41, 'HIRE'"
E,0045,893,ten,cap,1826,2736,510,698,"survey #42, 'HIRE'"
B,0042,893,eight,cap,150,2046,451,570,"survey #34, 'BONES'"
O,004F,893,eight,cap,615,2050,417,567,"survey #35, 'BONES'"
N,004E,893,eight,cap,1046,2051,445,570,"survey #36, 'BONES'"
E.eight,,893,eight,cap,1510,2052,405,570,"survey #37, 'BONES'"
S,0053,893,eight,cap,1930,2055,406,567,"survey #38, 'BONES'"
C,0043,893,six,cap,151,1498,280,435,"survey #28, 'CORNS 8'"
O.six,,893,six,cap,464,1498,316,437,"survey #29, 'CORNS 8'"
R.six,,893,six,cap,808,1499,364,438,"survey #30, 'CORNS 8'"
N.six,,893,six,cap,1215,1499,335,440,"survey #31, 'CORNS 8'"
S.six,,893,six,cap,1589,1501,302,437,"survey #32, 'CORNS 8'"
eight,0038,893,six,figure,2039,1503,305,437,"survey #33, 'CORNS 8'"
G,0047,893,five,cap,155,1012,275,369,"survey #21, 'GROUNDS'"
R.five,,893,five,cap,474,1011,302,372,"survey #22, 'GROUNDS'"
O.five,,893,five,cap,820,1013,264,371,"survey #23, 'GROUNDS'"
U,0055,893,five,cap,1124,1012,266,371,"survey #24, 'GROUNDS'"
N.five,,893,five,cap,1434,1013,277,371,"survey #25, 'GROUNDS'"
D,0044,893,five,cap,1757,1015,283,372,"survey #26, 'GROUNDS'"
S.five,,893,five,cap,2087,1019,253,370,"survey #27, 'GROUNDS'"
M,004D,893,four,cap,157,593,288,307,"survey #10, 'Modernized 5'"
o,006F,893,four,lower,454,659,177,238,"survey #11, 'Modernized 5'"
d,0064,893,four,lower,635,593,187,305,"survey #12, 'Modernized 5'"
e,0065,893,four,lower,826,661,168,237,"survey #13, 'Modernized 5'"
r,0072,893,four,lower,1000,659,170,239,"survey #14, 'Modernized 5'"
n,006E,893,four,lower,1178,660,206,239,"survey #15, 'Modernized 5'"
i,0069,893,four,lower,1391,595,112,304,"survey #16, 'Modernized 5'"
z,007A,893,four,lower,1509,662,159,238,"survey #17, 'Modernized 5'"
e.four,,893,four,lower,1676,666,169,233,"survey #18, 'Modernized 5'"
d.four,,893,four,lower,1852,596,188,306,"survey #19, 'Modernized 5'"
five,0035,893,four,figure,2149,598,191,305,"survey #20, 'Modernized 5'"
