glyph,unicode,leaf,line,band,category,x,y,w,h,notes
B,0042,900,six,2,cap,285,551,190,440,"survey #10, 'Buchdrucker ſchwärze'"
u,0075,900,six,2,lower,485,653,118,336,"survey #11, 'Buchdrucker ſchwärze'"
c,0063,900,six,2,lower,611,654,76,335,"survey #12, 'Buchdrucker ſchwärze'"
h,0068,900,six,2,lower,696,552,107,510,"survey #13, 'Buchdrucker ſchwärze'"
d,0064,900,six,2,lower,812,552,94,433,"survey #14, 'Buchdrucker ſchwärze'"
r,0072,900,six,2,lower,913,649,101,335,"survey #15, 'Buchdrucker ſchwärze'"
u.six,,900,six,2,lower,1022,649,120,335,"survey #16, 'Buchdrucker ſchwärze'"
c.six,,900,six,2,lower,1150,652,78,336,"survey #17, 'Buchdrucker ſchwärze'"
k,006B,900,six,2,lower,1238,550,83,436,"survey #18, 'Buchdrucker ſchwärze'"
e,0065,900,six,2,lower,1332,655,81,334,"survey #19, 'Buchdrucker ſchwärze'"
r.six,,900,six,2,lower,1424,652,102,337,"survey #20, 'Buchdrucker ſchwärze'"
longs,017F,900,six,2,lower,1637,607,87,376,"survey #21, 'Buchdrucker ſchwärze'"
c.six_2,,900,six,2,lower,1734,655,76,334,"survey #22, 'Buchdrucker ſchwärze'"
h.six,,900,six,2,lower,1820,552,107,509,"survey #23, 'Buchdrucker ſchwärze'"
w,0077,900,six,2,lower,1931,587,134,403,"survey #24, 'Buchdrucker ſchwärze'"
adieresis,00E4,900,six,2,lower,2075,557,99,431,"survey #25, 'Buchdrucker ſchwärze'"
r.six_2,,900,six,2,lower,2184,654,97,332,"survey #26, 'Buchdrucker ſchwärze'"
z,007A,900,six,2,lower,2295,654,99,412,"survey #27, 'Buchdrucker ſchwärze'"
e.six,,900,six,2,lower,2403,606,83,385,"survey #28, 'Buchdrucker ſchwärze'"
