glyph,unicode,leaf,line,band,category,x,y,w,h,notes
R,0052,896,ten,6,cap,266,2738,388,706,"survey #53, 'ROSE 15'"
O,004F,896,ten,6,cap,663,2739,378,704,"survey #54, 'ROSE 15'"
S,0053,896,ten,6,cap,1053,2742,398,703,"survey #55, 'ROSE 15'"
E,0045,896,ten,6,cap,1470,2741,306,705,"survey #56, 'ROSE 15'"
one,0031,896,ten,6,figure,1907,2740,191,705,"survey #57, 'ROSE 15'"
five,0035,896,ten,6,figure,2111,2739,362,704,"survey #58, 'ROSE 15'"
M,004D,896,eight,5,cap,269,2037,392,574,"survey #46, 'MINERS 6'"
I,0049,896,eight,5,cap,676,2038,138,575,"survey #47, 'MINERS 6'"
N,004E,896,eight,5,cap,830,2039,301,574,"survey #48, 'MINERS 6'"
E.eight,,896,eight,5,cap,1145,2039,256,575,"survey #49, 'MINERS 6'"
R.eight,,896,eight,5,cap,1418,2040,316,575,"survey #50, 'MINERS 6'"
S.eight,,896,eight,5,cap,1739,2039,316,573,"survey #51, 'MINERS 6'"
six,0036,896,eight,5,figure,2173,2040,298,571,"survey #52, 'MINERS 6'"
K,004B,896,six,4,cap,265,1473,233,442,"survey #36, 'KING FISHER'"
I.six,,896,six,4,cap,516,1474,103,441,"survey #37, 'KING FISHER'"
N.six,,896,six,4,cap,630,1474,223,443,"survey #38, 'KING FISHER'"
G,0047,896,six,4,cap,864,1478,220,441,"survey #39, 'KING FISHER'"
F,0046,896,six,4,cap,1249,1477,185,441,"survey #40, 'KING FISHER'"
I.six_2,,896,six,4,cap,1447,1476,103,443,"survey #41, 'KING FISHER'"
S.six,,896,six,4,cap,1560,1477,240,441,"survey #42, 'KING FISHER'"
H,0048,896,six,4,cap,1805,1476,229,443,"survey #43, 'KING FISHER'"
E.six,,896,six,4,cap,2042,1479,185,439,"survey #44, 'KING FISHER'"
R.six,,896,six,4,cap,2236,1478,232,440,"survey #45, 'KING FISHER'"
G.four,,896,four,2,cap,267,574,152,306,"survey #10, 'Garden Roses 356'"
a,0061,896,four,2,lower,432,637,124,243,"survey #11, 'Garden Roses 356'"
r,0072,896,four,2,lower,568,635,87,245,"survey #12, 'Garden Roses 356'"
d,0064,896,four,2,lower,672,574,117,306,"survey #13, 'Garden Roses 356'"
e,0065,896,four,2,lower,802,636,113,244,"survey #14, 'Garden Roses 356'"
n,006E,896,four,2,lower,926,636,114,244,"survey #15, 'Garden Roses 356'"
R.four,,896,four,2,cap,1199,573,160,307,"survey #16, 'Garden Roses 356'"
o,006F,896,four,2,lower,1372,636,114,246,"survey #17, 'Garden Roses 356'"
s,0073,896,four,2,lower,1500,637,112,244,"survey #18, 'Garden Roses 356'"
e.four,,896,four,2,lower,1623,638,113,244,"survey #19, 'Garden Roses 356'"
s.four,,896,four,2,lower,1750,637,115,246,"survey #20, 'Garden Roses 356'"
three,0033,896,four,2,figure,2028,578,147,305,"survey #21, 'Garden Roses 356'"
five.four,,896,four,2,figure,2183,577,133,306,"survey #22, 'Garden Roses 356'"
six.four,,896,four,2,figure,2322,578,149,306,"survey #23, 'Garden Roses 356'"
