glyph,unicode,leaf,line,band,category,x,y,w,h,notes
M,004D,888,ten,6,cap,288,2741,594,707,"survey #42, 'MODE'"
O,004F,888,ten,6,cap,927,2744,503,702,"survey #43, 'MODE'"
D,0044,888,ten,6,cap,1470,2746,490,703,"survey #44, 'MODE'"
E,0045,888,ten,6,cap,1998,2715,489,764,"survey #45, 'MODE'"
H,0048,888,eight,5,cap,288,2038,428,576,"survey #37, 'HOUND'"
O.eight,,888,eight,5,cap,742,2044,411,569,"survey #38, 'HOUND'"
U,0055,888,eight,5,cap,1176,2044,426,575,"survey #39, 'HOUND'"
N,004E,888,eight,5,cap,1631,2046,422,573,"survey #40, 'HOUND'"
D.eight,,888,eight,5,cap,2092,2046,402,571,"survey #41, 'HOUND'"
R,0052,888,six,4,cap,293,1475,318,499,"survey #30, 'ROSEBUD'"
O.six,,888,six,4,cap,624,1477,310,438,"survey #31, 'ROSEBUD'"
S,0053,888,six,4,cap,939,1479,309,440,"survey #32, 'ROSEBUD'"
E.six,,888,six,4,cap,1259,1463,290,476,"survey #33, 'ROSEBUD'"
B,0042,888,six,4,cap,1566,1482,290,440,"survey #34, 'ROSEBUD'"
U.six,,888,six,4,cap,1860,1480,325,442,"survey #35, 'ROSEBUD'"
D.six,,888,six,4,cap,2198,1482,299,441,"survey #36, 'ROSEBUD'"
B.five,,888,five,3,cap,296,983,247,374,"survey #22, 'BOUNCED 5'"
O.five,,888,five,3,cap,565,985,259,370,"survey #23, 'BOUNCED 5'"
U.five,,888,five,3,cap,834,986,268,373,"survey #24, 'BOUNCED 5'"
N.five,,888,five,3,cap,1125,988,259,373,"survey #25, 'BOUNCED 5'"
C,0043,888,five,3,cap,1395,992,232,370,"survey #26, 'BOUNCED 5'"
E.five,,888,five,3,cap,1645,979,242,402,"survey #27, 'BOUNCED 5'"
D.five,,888,five,3,cap,1900,990,253,374,"survey #28, 'BOUNCED 5'"
five,0035,888,five,3,figure,2322,991,173,375,"survey #29, 'BOUNCED 5'"
N.four,,888,four,2,cap,290,557,214,308,"survey #10, 'Natures Best 8'"
a,0061,888,four,2,lower,514,640,176,225,"survey #11, 'Natures Best 8'"
t,0074,888,four,2,lower,701,576,123,290,"survey #12, 'Natures Best 8'"
u,0075,888,four,2,lower,835,643,170,224,"survey #13, 'Natures Best 8'"
r,0072,888,four,2,lower,1015,642,133,226,"survey #14, 'Natures Best 8'"
e,0065,888,four,2,lower,1151,644,141,224,"survey #15, 'Natures Best 8'"
s,0073,888,four,2,lower,1300,644,144,226,"survey #16, 'Natures Best 8'"
B.four,,888,four,2,cap,1577,568,198,303,"survey #17, 'Natures Best 8'"
e.four,,888,four,2,lower,1779,646,141,225,"survey #18, 'Natures Best 8'"
s.four,,888,four,2,lower,1927,645,145,226,"survey #19, 'Natures Best 8'"
t.four,,888,four,2,lower,2077,583,123,289,"survey #20, 'Natures Best 8'"
eight,0038,888,four,2,figure,2341,570,154,304,"survey #21, 'Natures Best 8'"
