glyph,unicode,leaf,line,category,x,y,w,h,notes
R,0052,895,fifteen,cap,120,2400,745,1060,"RECORD, fifteen-line specimen line"
E,0045,895,fifteen,cap,539,2413,296,1028,"survey #49, 'RECORD'"
C,0043,895,fifteen,cap,864,2414,333,1024,"survey #50, 'RECORD'"
O,004F,895,fifteen,cap,1227,2417,341,1021,"survey #51, 'RECORD'"
R.fifteen,,895,fifteen,cap,1600,2414,366,1023,"survey #52, 'RECORD'"
D,0044,895,fifteen,cap,1991,2415,337,1022,"survey #53, 'RECORD'"
C.eight,,895,eight,cap,147,1691,187,569,"survey #38, 'CHANGEABLE'"
H,0048,895,eight,cap,362,1690,198,570,"survey #39, 'CHANGEABLE'"
A,0041,895,eight,cap,593,1691,207,570,"survey #40, 'CHANGEABLE'"
N,004E,895,eight,cap,825,1692,238,570,"survey #41, 'CHANGEABLE'"
G,0047,895,eight,cap,1091,1693,194,568,"survey #42, 'CHANGEABLE'"
E.eight,,895,eight,cap,1308,1692,168,571,"survey #43, 'CHANGEABLE'"
A.eight,,895,eight,cap,1500,1692,206,571,"survey #44, 'CHANGEABLE'"
B,0042,895,eight,cap,1736,1694,190,569,"survey #45, 'CHANGEABLE'"
L,004C,895,eight,cap,1959,1695,170,568,"survey #46, 'CHANGEABLE'"
E.eight_2,,895,eight,cap,2164,1694,168,569,"survey #47, 'CHANGEABLE'"
M,004D,895,six,cap,144,1110,236,440,"survey #26, 'MODERN DESIGN'"
O.six,,895,six,cap,394,1112,156,435,"survey #27, 'MODERN DESIGN'"
D.six,,895,six,cap,560,1110,155,440,"survey #28, 'MODERN DESIGN'"
E.six,,895,six,cap,729,1112,135,438,"survey #29, 'MODERN DESIGN'"
R.six,,895,six,cap,879,1111,158,436,"survey #30, 'MODERN DESIGN'"
N.six,,895,six,cap,1060,1112,182,436,"survey #31, 'MODERN DESIGN'"
D.six_2,,895,six,cap,1412,1113,154,435,"survey #32, 'MODERN DESIGN'"
E.six_2,,895,six,cap,1579,1114,128,437,"survey #33, 'MODERN DESIGN'"
S,0053,895,six,cap,1729,1115,149,435,"survey #34, 'MODERN DESIGN'"
I,0049,895,six,cap,1899,1113,72,439,"survey #35, 'MODERN DESIGN'"
G.six,,895,six,cap,1990,1116,152,436,"survey #36, 'MODERN DESIGN'"
N.six_2,,895,six,cap,2157,1115,179,439,"survey #37, 'MODERN DESIGN'"
P,0050,895,five,cap,146,599,130,371,"survey #9, 'Precious Diamond 82'"
D.five,,895,five,cap,1123,599,130,371,"survey #17, 'Precious Diamond 82'"
